estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"LogisticRegression(C=100, random_state=0, solver='newton-cg')",,,,,,,100.0,,,,0.04997935028140859,-0.34015516779155586
"SVC(probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.0259569350655313,-0.3538224086163202
"SVC(probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.028260870805363658,-0.35398475322307016
"SVC(probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.027674461053072346,-0.3551082858427462
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.9,,,0.028087653455190004,-0.3722753258596153
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.8,,,0.028111061560245,-0.37233259486349113
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.7000000000000001,,,0.028134504165244306,-0.3723898845253385
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.6,,,0.028157985570936232,-0.37244719239415913
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.5,,,0.028181501405437914,-0.37250452282934365
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.4,,,0.02820505219136301,-0.3725618740117657
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.30000000000000004,,,0.028228635679867033,-0.3726192449110187
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.2,,,0.028252260748636886,-0.3726766292368091
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.1,,,0.028275922228410934,-0.37273403255960613
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.9,,,0.028269417608530183,-0.3740082424487835
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.8,,,0.0285184945666156,-0.3745957955299441
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.7000000000000001,,,0.028766417822087286,-0.37518202890691393
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.6,,,0.029014499076362003,-0.3757679392059331
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.5,,,0.02926504275651137,-0.37635490371902247
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.4,,,0.029518316910709438,-0.3769425378569374
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.30000000000000004,,,0.029774310142350876,-0.3775307712433061
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.2,,,0.030032341834796025,-0.3781196334195865
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.1,,,0.03029222356223622,-0.3787093194652169
"SVC(probability=True, random_state=0)",,,,,,,1.0,,scale,rbf,0.02637261698421523,-0.39054950958415363
"LogisticRegression(C=100, random_state=0, solver='newton-cg')",,,,,,,1000.0,,,,0.08156705910608165,-0.39539815765555064
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.9,,,0.032467622538050425,-0.39689562010356844
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.8,,,0.035208492525183085,-0.4028449790206519
"SVC(probability=True, random_state=0)",,,,,,,100.0,,auto,rbf,0.02954945541188624,-0.40793846047692794
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.7000000000000001,,,0.03782279747783861,-0.40863359917769826
"SVC(probability=True, random_state=0)",,,,,,,1000.0,,auto,rbf,0.028738698198156165,-0.4120814903058111
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.6,,,0.040166290702916774,-0.41423169693584283
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.5,,,0.042267403200517015,-0.4196743401500063
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.4,,,0.04347602350978739,-0.42456707659816156
"LogisticRegression(C=100, random_state=0, solver='newton-cg')",,,,,,,10.0,,,,0.04721194118062541,-0.42568962982177094
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.30000000000000004,,,0.04256573467288355,-0.428224832603194
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,10.0,,,,0.025877207303142913,-0.43075757732221237
"SVC(probability=True, random_state=0)",,,,,,,1000.0,,auto,sigmoid,0.022830317824852463,-0.43117893214341485
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.2,,,0.042055438369857936,-0.4321462740461808
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.1,,,0.04176798466712349,-0.43617185103028877
"LogisticRegression(penalty='l1', random_state=0, solver='liblinear')",,,,,,,10.0,,,,0.033223193006765,-0.43626916197862264
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,100.0,,,,0.027411230182793005,-0.4366855366137683
"SVC(probability=True, random_state=0)",,,,,,,100.0,,auto,sigmoid,0.027521388697059317,-0.4379179302807795
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,1000.0,,,,0.03222258592975263,-0.4473710873064034
RandomForestClassifier(random_state=0),entropy,,,,,500.0,,,,,0.02691385003436103,-0.4502748535790377
RandomForestClassifier(random_state=0),gini,,,,,500.0,,,,,0.030402857450622656,-0.45563967332557825
"SVC(probability=True, random_state=0)",,,,,,,10.0,,auto,rbf,0.02872161848948848,-0.47105236258466887
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,1.0,,,,0.02308390411356717,-0.4863036947021899
RandomForestClassifier(random_state=0),gini,,,,,100.0,,,,,0.11092884995842207,-0.49984670840451634
"SVC(probability=True, random_state=0)",,,,,,,10.0,,auto,sigmoid,0.03030569920836678,-0.5238435624308749
"LogisticRegression(penalty='l1', random_state=0, solver='liblinear')",,,,,,,100.0,,,,0.08515437217184503,-0.5307319722287864
RandomForestClassifier(random_state=0),entropy,,,,,100.0,,,,,0.1185141718102097,-0.535016934774436
"SVC(probability=True, random_state=0)",,,,,,,1000.0,,scale,poly,0.05925426570467785,-0.5522360983113728
"SVC(probability=True, random_state=0)",,,,,,,100.0,,scale,poly,0.04944262684598308,-0.5594803195135938
RandomForestClassifier(random_state=0),gini,,,,,50.0,,,,,0.10997846298098064,-0.5871859090899887
"SVC(probability=True, random_state=0)",,,,,,,0.1,,scale,rbf,0.053823909149481146,-0.5909732742953426
"SVC(probability=True, random_state=0)",,,,,,,10.0,,scale,poly,0.03640952090315604,-0.5919406007606287
