estimator,filter__degree,filter__window,std,neg_log_loss
GaussianNB(),7,29,0.17753629841678661,-1.1861330358990654
GaussianNB(),6,29,0.17736454428528733,-1.186326151190713
GaussianNB(),5,21,0.1781237799059101,-1.1866515836449774
GaussianNB(),4,21,0.17836421826450943,-1.1867402970479044
GaussianNB(),2,29,0.16954134745636737,-1.1910387071575912
GaussianNB(),3,13,0.193470795981351,-1.195490490564472
GaussianNB(),2,13,0.19364164062801484,-1.1955497280877743
GaussianNB(),5,23,0.19221636289986876,-1.1972996984118467
GaussianNB(),4,23,0.1921206493500813,-1.1975566567145854
GaussianNB(),3,15,0.19458636727148002,-1.1987021581782673
GaussianNB(),2,15,0.19495292407454545,-1.1987645030450125
GaussianNB(),5,25,0.19286212078868722,-1.1998401466341662
GaussianNB(),4,25,0.19266231137513168,-1.2002571654071974
GaussianNB(),3,29,0.15911814401159305,-1.202511012501569
GaussianNB(),2,27,0.16202498126745085,-1.2139934936884378
GaussianNB(),3,27,0.162583634809093,-1.2167917529139187
GaussianNB(),3,17,0.19737653960633852,-1.2248851187511542
GaussianNB(),2,17,0.19800881751447333,-1.224984476725329
GaussianNB(),5,27,0.19387387679608278,-1.2256951204523772
GaussianNB(),4,27,0.19358663203915316,-1.2262877870607833
GaussianNB(),2,19,0.20299135137913432,-1.2265414388654143
GaussianNB(),3,19,0.20205026745187696,-1.2266893850989902
GaussianNB(),5,29,0.19713071494813855,-1.2270204694121805
GaussianNB(),4,29,0.19703778722560614,-1.2274109630013057
GaussianNB(),2,25,0.16876172610567805,-1.2321270429426816
GaussianNB(),3,25,0.17259909476996174,-1.2376298526553244
GaussianNB(),8,9,0.22081399009545033,-1.2404612152321566
GaussianNB(),2,3,0.22081399009544997,-1.2404612152321568
GaussianNB(),6,7,0.22081399009544844,-1.2404612152321568
GaussianNB(),4,5,0.22081399009545008,-1.2404612152321575
GaussianNB(),10,11,0.22081399009545422,-1.2404612152321743
GaussianNB(),11,13,0.22079628849014316,-1.2404854063767428
GaussianNB(),10,13,0.22079736645277778,-1.2404857938223055
GaussianNB(),8,11,0.22079317186708192,-1.240494654645218
GaussianNB(),9,11,0.22079388120419474,-1.2404954686117144
GaussianNB(),7,9,0.22078861314764345,-1.2405210229948627
GaussianNB(),6,9,0.2207878256685685,-1.240521201497756
GaussianNB(),11,15,0.22078205735766196,-1.24052575609926
GaussianNB(),10,15,0.22078062799049636,-1.2405264695049252
GaussianNB(),9,13,0.2207706836782251,-1.2405691384327664
GaussianNB(),8,13,0.22077599185074687,-1.2405740808323582
GaussianNB(),10,17,0.22075731368419627,-1.2406113964072403
GaussianNB(),4,7,0.22077363170152384,-1.240615735222813
GaussianNB(),5,7,0.22077778195917622,-1.2406199102394009
GaussianNB(),11,17,0.22076527485944017,-1.240622958347776
GaussianNB(),7,11,0.22075896960914598,-1.2406971491311836
GaussianNB(),6,11,0.2207616011409883,-1.2406996815801314
GaussianNB(),8,15,0.22074392687926184,-1.2407469334733734
GaussianNB(),9,15,0.22075008234151905,-1.240755402591354
GaussianNB(),11,19,0.22073448790350056,-1.2407828306609199
GaussianNB(),10,19,0.22073584655322093,-1.2407920014693976
GaussianNB(),11,21,0.22070205069880197,-1.24105494490505
GaussianNB(),10,21,0.2207123205902528,-1.2410782054734966
GaussianNB(),8,17,0.2207126138281084,-1.2410810264117134
GaussianNB(),9,17,0.22072947602678705,-1.241096775507484
GaussianNB(),7,13,0.22072551915701571,-1.241107812820969
GaussianNB(),2,5,0.22063935326190579,-1.2411124877285231
GaussianNB(),6,13,0.22073931432607044,-1.241119205062903
GaussianNB(),4,9,0.22071997393859083,-1.2411359120032164
GaussianNB(),5,9,0.22073024343356779,-1.2411386902645574
GaussianNB(),10,23,0.22070921193685758,-1.2415095425508949
GaussianNB(),11,23,0.22069048512823433,-1.2415366886975945
GaussianNB(),9,19,0.22072578642273002,-1.241651967711924
GaussianNB(),8,19,0.22071233474680166,-1.2416713088803324
GaussianNB(),6,15,0.22072401279142856,-1.241863876831711
GaussianNB(),7,15,0.2207232419178477,-1.2418755447777499
GaussianNB(),10,25,0.22075732379697427,-1.2421936945145524
GaussianNB(),5,11,0.22064130413789593,-1.2422156591900457
GaussianNB(),11,25,0.22074881352442782,-1.242231977608948
GaussianNB(),4,11,0.2206500484910241,-1.2422401271295032
GaussianNB(),8,21,0.22077644318020015,-1.2425114392236671
GaussianNB(),9,21,0.22077687205587893,-1.2425532308529774
GaussianNB(),2,7,0.2201013950708016,-1.2428926795840378
GaussianNB(),3,7,0.22018659818720845,-1.2429504448672033
GaussianNB(),7,17,0.22075200300646064,-1.2430297960963739
GaussianNB(),6,17,0.22074958348807372,-1.2430545657249445
GaussianNB(),11,27,0.2208737246084548,-1.2430802053468857
GaussianNB(),10,27,0.22087505711171232,-1.2431264984625539
GaussianNB(),8,23,0.2208881360234496,-1.24360315346092
GaussianNB(),9,23,0.22088631042491497,-1.24370605077197
GaussianNB(),4,13,0.22047808757725684,-1.2439316113747723
GaussianNB(),5,13,0.22046337676846214,-1.2439346162016143
GaussianNB(),11,29,0.22100373424114503,-1.2440520703225648
GaussianNB(),10,29,0.22102976886542705,-1.2441606280729807
GaussianNB(),6,19,0.2207635953849876,-1.244516066220669
GaussianNB(),7,19,0.2207559757328295,-1.2445600428077475
GaussianNB(),8,25,0.22095541620646544,-1.2448991661005888
