estimator,filter__degree,filter__window,std,neg_log_loss
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",10,13,0.1514772832013554,-1.2041365452326465
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",11,13,0.15147728219317744,-1.2041365473328205
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",8,11,0.15147817276994607,-1.204137248561905
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",9,11,0.15147819171671495,-1.204137277929895
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",10,11,0.15147424265256076,-1.204138843434999
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",6,7,0.1514742426525608,-1.2041388434349996
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",8,9,0.15147424265256082,-1.2041388434349996
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",2,3,0.15147424265256082,-1.2041388434349996
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",4,5,0.1514742426525607,-1.2041388434349998
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",10,15,0.15148212024637625,-1.2041397476049234
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",11,15,0.15148205898265663,-1.2041397978066393
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",7,9,0.15148031608636373,-1.2041398299571413
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",6,9,0.1514802841673389,-1.2041398534573307
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",6,11,0.15193184519110883,-1.2043646621144792
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",7,11,0.15193207710022644,-1.204364826843046
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",8,13,0.15173403893906115,-1.2044624670933881
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",9,13,0.15173403272157032,-1.2044625293086644
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",5,7,0.15173443338107978,-1.2044671925402999
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",4,7,0.15173452932766482,-1.2044672214551906
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",10,17,0.1517402615058567,-1.2044691823283122
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",11,17,0.15174020853930117,-1.204469253213507
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",4,9,0.1516097563873548,-1.2048147701968588
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",5,9,0.15160987019928554,-1.2048148837753936
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",6,13,0.15176096013238413,-1.205002144517071
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",7,13,0.15176107863758226,-1.2050023546333197
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",8,17,0.15176452654965158,-1.2050066152725474
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",9,17,0.15176422460281036,-1.2050067584793378
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",10,21,0.15130594328624156,-1.2052882369352014
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",11,21,0.15130626490421814,-1.2052882474162607
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",8,15,0.15211289985147683,-1.2053068574619163
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",9,15,0.15211263141775258,-1.2053070177597816
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",10,23,0.15132765337569012,-1.2053610328404862
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",11,23,0.1513276518419203,-1.2053614471383995
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",9,19,0.15133109228087407,-1.205366172157138
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",8,19,0.15133100143806524,-1.2053664504667803
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",6,15,0.1513364700044827,-1.2053766966688275
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",7,15,0.1513360586861401,-1.205377151410568
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",4,11,0.15134481861656282,-1.2054015810549097
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",5,11,0.1513454439763846,-1.2054022036274232
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",10,19,0.15205279074618067,-1.205416285559148
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",11,19,0.15205296971562898,-1.2054164017836573
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",3,5,0.1521272225795975,-1.2055337040861054
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",2,5,0.15212740993200483,-1.2055337974788565
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",10,25,0.15082131381944153,-1.205763390139855
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",11,25,0.15082126431545761,-1.2057641620368436
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",9,21,0.1509680058456148,-1.205971249635482
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",8,21,0.1509680818296206,-1.2059715206332307
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",3,7,0.1509568000778145,-1.2059872373134046
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",2,7,0.15095735894949677,-1.2059878010591907
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",6,17,0.1509864016660166,-1.20600972469918
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",7,17,0.15098594854126002,-1.2060100748072216
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",11,27,0.1511712322608023,-1.2062542260045752
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",10,27,0.15117022725100482,-1.2062546878741265
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",4,13,0.15118707386285676,-1.206307214216578
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",5,13,0.15118763073352573,-1.2063080005097446
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",8,23,0.15131923589188792,-1.2064724337748105
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",9,23,0.15131911133761297,-1.2064732021335087
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",11,29,0.151547560852224,-1.206769727326805
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",10,29,0.15154351192574683,-1.2067730641866872
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",7,19,0.15161054750364916,-1.2068785761196086
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",6,19,0.15161113280065777,-1.206879220515614
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",8,25,0.15109427285224886,-1.2074765108029522
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",9,25,0.15109486299574287,-1.2074776042028013
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",2,9,0.09200621720344364,-1.2521015479311601
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",3,9,0.09200632335225517,-1.2521015975288947
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",4,15,0.0917148425800247,-1.2521289095007146
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",5,15,0.09171503175012212,-1.252129577731352
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",7,21,0.09204600507419369,-1.2522433272061115
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",6,21,0.09204595615830202,-1.2522442009885102
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",9,27,0.09205640520722135,-1.2522529783143064
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",8,27,0.0920551799786998,-1.2522550248816102
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",9,29,0.09289036328678685,-1.2525635953356986
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",8,29,0.09288649946552088,-1.2525700378186655
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",6,23,0.09185870673774173,-1.2537642611082311
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",7,23,0.09185828581088669,-1.2537646193537924
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",5,17,0.09191726014958378,-1.2539050621232046
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",4,17,0.09191644672187033,-1.253905411243274
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",3,25,0.09140513339810297,-1.2767245965818412
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",7,25,0.06075108675775891,-1.299460202381105
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",6,25,0.06078739783444945,-1.2995324095122707
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",2,11,0.06017487192078733,-1.2998003612894327
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",3,11,0.060174894261144356,-1.2998008435722044
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",4,23,0.0628325521753652,-1.300531946477401
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",5,23,0.06283562877625214,-1.3005365836497464
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",5,19,0.06060902351978393,-1.300627127293568
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",4,19,0.060671251858092516,-1.3008132073637084
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",7,29,0.062307362027475215,-1.3008786293409744
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",3,15,0.06289085486489034,-1.3009022290805645
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",4,21,0.06292776525952026,-1.3009661824848355
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",5,21,0.06292987299104635,-1.3009691041026703
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",2,15,0.06294811591457401,-1.3010139294052276
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",7,27,0.06087723507737654,-1.3011694869988344
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",6,27,0.060866134965890786,-1.3011780409075164
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",6,29,0.06169769824066351,-1.3011879380876736
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",2,13,0.06129148645890079,-1.3013198374098471
"KNeighborsClassifier(n_neighbors=13, p=4, weights='distance')",3,13,0.061078060018773604,-1.3014267265621404
