estimator,filter__degree,filter__window,std,neg_log_loss
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",10,21,0.0477330098923788,-0.3876044952530898
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",11,21,0.047733041804293684,-0.38760506310185616
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",8,17,0.047733444522461164,-0.3876107035162755
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",9,17,0.047732419341129706,-0.3876113607473782
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",6,13,0.047731513390063394,-0.3876210348311857
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",7,13,0.047732292767966915,-0.38762199004337783
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",5,9,0.047729012866397934,-0.38763537198081016
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",4,9,0.04772868834624162,-0.3876384631528408
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",3,5,0.047724512021589977,-0.38766103855284956
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",2,5,0.04772411657638283,-0.38766144511320483
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",11,19,0.04773546224925073,-0.3876616783100141
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",10,19,0.047735797711892555,-0.3876623201858136
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",8,15,0.04773817035904052,-0.38767237997933884
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",9,15,0.04773767405164311,-0.3876732252832049
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",6,11,0.047736672490806376,-0.3876884321411521
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",7,11,0.04773717143750207,-0.38768990733077285
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",11,17,0.04773807040039667,-0.3876990678528077
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",10,17,0.04773836852586094,-0.38769979764637785
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",5,7,0.047735878811025124,-0.3877060821852324
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",4,7,0.047734261064403,-0.3877077228783391
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",8,13,0.0477383150042687,-0.38770956470300943
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",9,13,0.047738511708476594,-0.38770964564655686
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",11,15,0.047738781972025204,-0.38771753848028895
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",10,15,0.04773867523243521,-0.3877178224756235
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",7,9,0.047736574688461555,-0.38771959937692596
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",6,9,0.04773625198707018,-0.3877204282847214
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",9,11,0.04773528128695439,-0.387724686953766
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",8,11,0.047734886576810624,-0.3877256450895792
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",11,13,0.04773503794517568,-0.38772578545279457
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",2,3,0.047730793221332224,-0.38772600451980876
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",4,5,0.04773254097869266,-0.38772625516943143
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",6,7,0.04773095649396595,-0.3877266453463518
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",10,11,0.04773070624198633,-0.38772719045179915
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",8,9,0.04773020249544083,-0.38772744729810027
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",10,13,0.0477340188996723,-0.3877280367177285
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",4,29,0.04578141141337969,-0.38921147652309185
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",5,29,0.04577058074716815,-0.38921315817989754
