estimator,filter__degree,filter__window,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287B814C0>,3,23,0.04403518784791358,-0.2918860396094086
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287B814C0>,11,21,0.09065166021412202,-0.2979350375991232
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287B814C0>,9,29,0.07225809881863234,-0.2990205913038986
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287B814C0>,4,27,0.09347809570014119,-0.30021038629627145
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287B814C0>,2,21,0.07300402133902162,-0.304227446580102
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287B814C0>,6,19,0.06058328287631414,-0.30483867860246733
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287B814C0>,4,15,0.10680233411398726,-0.30825773966427655
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287B814C0>,4,29,0.07811482197012273,-0.3089334004158827
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287B814C0>,7,17,0.04566285012447881,-0.3109952842391306
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287B814C0>,2,11,0.07502499527362246,-0.312410177700453
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287B814C0>,8,21,0.0829953262972635,-0.31317841686156805
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287B814C0>,3,11,0.07441399755882666,-0.31344493074488333
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287B814C0>,10,21,0.08427334493433647,-0.3154764342995101
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287B814C0>,8,11,0.08357583787794172,-0.3155476907963899
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287B814C0>,3,29,0.08299067091488059,-0.3155882088339913
