estimator,filter__degree,filter__window,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,7,11,0.02293150639423359,-0.1820091455763241
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,3,11,0.02560224097188953,-0.1853005344042349
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,9,11,0.028596050538887294,-0.1903330878752933
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,6,11,0.031846072652949954,-0.19083631583619576
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,4,9,0.024371267663552406,-0.1909572151637716
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,6,9,0.024427147081975083,-0.19102936464252024
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,3,5,0.01951536216343581,-0.19284618817951968
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,10,11,0.03570744687951876,-0.19429541683175613
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,2,5,0.024548493449813323,-0.19489312745893206
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,7,9,0.02710703862156899,-0.1954567029660406
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,6,7,0.022689343061821295,-0.19667349616178464
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,5,11,0.022494631687562383,-0.19700974714481562
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,5,7,0.02218527381060884,-0.19727791906631406
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,3,9,0.022300704028975524,-0.1978703133080057
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,2,9,0.024818541657068722,-0.1984882962910283
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,2,11,0.02499918388019685,-0.19859559071350122
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,2,7,0.03097212301515943,-0.19884562539045395
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,4,11,0.029890554214335306,-0.2010550651336166
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,2,3,0.019190649989797248,-0.2026142466884025
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,8,11,0.023858667796335113,-0.20275352250787534
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,8,9,0.027252433982760678,-0.2038013557912636
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,4,5,0.022579874456917108,-0.2038359644062629
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,4,7,0.01967563617632834,-0.20390276123184312
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,5,9,0.03430402070697683,-0.20438850812433335
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021E67425BE0>,3,7,0.02675860693313066,-0.20681568822150836
