estimator,filter__degree,filter__window,std,neg_log_loss
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",7,25,0.021978430493593513,-0.47477238443277014
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",6,25,0.02139033459705195,-0.475735108392047
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",9,27,0.01800571212801003,-0.4758787894114416
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",6,17,0.019086602609441634,-0.4759284650484017
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",5,13,0.020327302741062998,-0.47599944041417874
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",8,23,0.019066184128341622,-0.47602896344200724
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",4,13,0.020219556990160117,-0.47606830133198635
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",7,17,0.01920401392237296,-0.4761717043810124
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",4,15,0.018901897435501525,-0.47631398319266294
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",8,27,0.018749612014608397,-0.47652133545163206
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",2,9,0.020912008358871248,-0.4767199364330734
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",5,25,0.018593276496301638,-0.4767276547463838
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",5,15,0.019036417597044105,-0.4768008305514259
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",9,23,0.01929935976912017,-0.476855959871817
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",9,21,0.017302777543136066,-0.4769632103109216
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",2,7,0.01824846154383234,-0.4771510387368039
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",9,25,0.020192385225130168,-0.4771675289190611
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",7,19,0.019955038618555132,-0.47718185576249433
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",11,27,0.018794716490979923,-0.4771895094039057
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",8,21,0.017544228192888905,-0.4771988884117005
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",8,25,0.019683987181243187,-0.47727228729400706
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",3,7,0.018169220164122372,-0.4772844601089064
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",6,19,0.019952123824833714,-0.4773048994685915
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",10,27,0.01927830855639304,-0.4775465916727731
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",7,21,0.02051685752173249,-0.4775559429017395
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",6,21,0.020539727980261085,-0.47766981225384875
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",3,9,0.020979207619669732,-0.47774690342932236
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",11,29,0.020315042307243972,-0.4777663388079163
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",3,11,0.02138588257453269,-0.4783223832457857
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",9,29,0.020674659373154318,-0.4783233310184589
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",10,29,0.020166989928592123,-0.4784464581806048
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",2,11,0.021291081161879916,-0.478491818207382
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",4,25,0.017354929412153986,-0.47852830880806596
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",8,29,0.021448723241891364,-0.4789702650934965
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",4,11,0.016547947927611346,-0.47925441421572057
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",7,29,0.020474795962598453,-0.47927533671546374
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",7,23,0.021735403060050403,-0.47928718441412393
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",5,11,0.0164770661472916,-0.47932861388745457
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",8,13,0.018614145098598666,-0.4793653255288143
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",9,13,0.01858117204599834,-0.47939218653426463
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",6,29,0.020824943509274423,-0.47945340934594993
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",4,29,0.01737529614398343,-0.47948147913924155
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",4,7,0.018546887541875418,-0.4794838264197697
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",11,25,0.01780585261904735,-0.47951583632866707
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",5,7,0.01854491395878089,-0.47952338787032217
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",6,23,0.021794142375375226,-0.47955313167354224
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",7,9,0.01866964719759466,-0.47958245059742444
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",6,9,0.018665579322141565,-0.47961852338322586
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",10,23,0.016983122393469247,-0.47965519198584233
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",7,27,0.020783815463454473,-0.4796600949560368
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",11,23,0.016856566030690745,-0.4796981180671761
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",10,25,0.018031204622037424,-0.4797120754301531
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",5,27,0.02102811279584014,-0.4797751775278011
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",2,3,0.01877087173969144,-0.4797829493249425
"RandomForestClassifier(criterion='entropy', n_estimators=500, random_state=0)",4,5,0.01877087173969144,-0.4797829493249425
