estimator,filter__degree,filter__window,std,neg_log_loss
"SVC(C=10, probability=True, random_state=0)",10,11,0.04422218716645161,-0.34551382035405653
"SVC(C=10, probability=True, random_state=0)",2,3,0.0442221871664517,-0.3455138203540603
"SVC(C=10, probability=True, random_state=0)",4,5,0.044222187166451384,-0.3455138203540603
"SVC(C=10, probability=True, random_state=0)",6,7,0.04422218716645091,-0.34551382035406036
"SVC(C=10, probability=True, random_state=0)",8,9,0.044222187166451175,-0.34551382035406064
"SVC(C=10, probability=True, random_state=0)",11,13,0.044214259040966125,-0.3455212425346378
"SVC(C=10, probability=True, random_state=0)",10,13,0.04420775542898381,-0.34552291303463833
"SVC(C=10, probability=True, random_state=0)",11,15,0.04421656831347197,-0.34552382924263086
"SVC(C=10, probability=True, random_state=0)",7,9,0.044220225136045864,-0.345524780497776
"SVC(C=10, probability=True, random_state=0)",9,11,0.04420553766802693,-0.3455256607262033
"SVC(C=10, probability=True, random_state=0)",6,9,0.04421514990510123,-0.34552593855401853
"SVC(C=10, probability=True, random_state=0)",8,11,0.04421625628411587,-0.3455279880041335
"SVC(C=10, probability=True, random_state=0)",10,15,0.04420911135223076,-0.34552865337485883
"SVC(C=10, probability=True, random_state=0)",8,13,0.044229202701819584,-0.3455385529691942
"SVC(C=10, probability=True, random_state=0)",4,7,0.04423078874804121,-0.3455486076484016
"SVC(C=10, probability=True, random_state=0)",10,17,0.044242075556224676,-0.34555122636037394
"SVC(C=10, probability=True, random_state=0)",5,7,0.04422749367706325,-0.34555162430229114
"SVC(C=10, probability=True, random_state=0)",11,17,0.04422460078346203,-0.3455520904928345
"SVC(C=10, probability=True, random_state=0)",6,11,0.04423493926298625,-0.3455536525834185
"SVC(C=10, probability=True, random_state=0)",9,13,0.04421710883205091,-0.34555485299901667
"SVC(C=10, probability=True, random_state=0)",9,15,0.04425223333961861,-0.3455616872010157
"SVC(C=10, probability=True, random_state=0)",8,15,0.04423942534344613,-0.34556560624037264
"SVC(C=10, probability=True, random_state=0)",10,19,0.04426245833395388,-0.34556705361820805
"SVC(C=10, probability=True, random_state=0)",11,19,0.04425602959790429,-0.34557161052111196
"SVC(C=10, probability=True, random_state=0)",7,11,0.04424135960620011,-0.3455724135535067
"SVC(C=10, probability=True, random_state=0)",11,21,0.04427479487568052,-0.34562120614166736
"SVC(C=10, probability=True, random_state=0)",7,13,0.04428773611646039,-0.3456223878556121
"SVC(C=10, probability=True, random_state=0)",9,17,0.044293766917867385,-0.3456230094052953
"SVC(C=10, probability=True, random_state=0)",5,9,0.04429356497239339,-0.3456231465429066
"SVC(C=10, probability=True, random_state=0)",10,21,0.04428514243497307,-0.345624970714262
"SVC(C=10, probability=True, random_state=0)",2,5,0.044289154422565265,-0.3456275157064528
"SVC(C=10, probability=True, random_state=0)",3,5,0.04429667122210837,-0.34562785023420195
"SVC(C=10, probability=True, random_state=0)",6,13,0.04428628681727451,-0.3456287201378717
"SVC(C=10, probability=True, random_state=0)",8,17,0.044290343171322334,-0.3456294719960594
"SVC(C=10, probability=True, random_state=0)",4,9,0.0442811270280578,-0.3456309533101913
"SVC(C=10, probability=True, random_state=0)",10,23,0.044343275293880574,-0.34567028415374856
"SVC(C=10, probability=True, random_state=0)",11,23,0.04434945030465527,-0.34568164974298654
"SVC(C=10, probability=True, random_state=0)",9,19,0.04436945866109203,-0.34569218183836325
"SVC(C=10, probability=True, random_state=0)",8,19,0.04437587745787205,-0.34569480183806667
"SVC(C=10, probability=True, random_state=0)",7,15,0.04437284356323584,-0.3457285248246559
"SVC(C=10, probability=True, random_state=0)",6,15,0.044385702591499404,-0.34573032401447207
"SVC(C=10, probability=True, random_state=0)",10,25,0.04442174489794202,-0.3457777702467737
"SVC(C=10, probability=True, random_state=0)",11,25,0.04442018200478049,-0.3457800498591566
"SVC(C=10, probability=True, random_state=0)",4,11,0.04440907548143675,-0.3457907827370573
"SVC(C=10, probability=True, random_state=0)",5,11,0.04440227933116475,-0.3457924535893371
"SVC(C=10, probability=True, random_state=0)",9,21,0.04444248454328227,-0.34582581850228056
"SVC(C=10, probability=True, random_state=0)",8,21,0.04443547276735179,-0.34583163502392666
"SVC(C=10, probability=True, random_state=0)",11,27,0.04447854096931182,-0.34589255214570086
"SVC(C=10, probability=True, random_state=0)",10,27,0.04448314439052995,-0.34589681743156514
"SVC(C=10, probability=True, random_state=0)",6,17,0.04447368489528415,-0.3459008094620356
"SVC(C=10, probability=True, random_state=0)",7,17,0.04446564135525333,-0.34590110607620445
"SVC(C=10, probability=True, random_state=0)",3,7,0.04448885890140012,-0.3459594428494642
"SVC(C=10, probability=True, random_state=0)",2,7,0.0444737643889333,-0.3459618568698743
"SVC(C=10, probability=True, random_state=0)",8,23,0.04453274785912105,-0.3459627599475714
"SVC(C=10, probability=True, random_state=0)",9,23,0.04452606072331613,-0.34596552907233635
"SVC(C=10, probability=True, random_state=0)",11,29,0.044544715015737466,-0.3460012107582699
"SVC(C=10, probability=True, random_state=0)",10,29,0.04456853556790743,-0.34600925767482227
"SVC(C=10, probability=True, random_state=0)",5,13,0.04455445186157945,-0.3460642648983327
"SVC(C=10, probability=True, random_state=0)",4,13,0.04456408496830372,-0.3460644436784711
"SVC(C=10, probability=True, random_state=0)",7,19,0.044596132739869135,-0.34609446914942765
"SVC(C=10, probability=True, random_state=0)",6,19,0.04460374453003862,-0.3460993587806199
"SVC(C=10, probability=True, random_state=0)",8,25,0.04463882479887466,-0.346115337489756
"SVC(C=10, probability=True, random_state=0)",9,25,0.04463864770706208,-0.34611970440627166
"SVC(C=10, probability=True, random_state=0)",9,27,0.044741376411243886,-0.34628521887374364
"SVC(C=10, probability=True, random_state=0)",8,27,0.044742996406975134,-0.34630862473271806
"SVC(C=10, probability=True, random_state=0)",6,21,0.0447556259602243,-0.3463117521493847
