estimator,filter__degree,filter__window,std,neg_log_loss
"SVC(C=100, probability=True, random_state=0)",4,5,0.013568144106124332,-0.2376426413810549
"SVC(C=100, probability=True, random_state=0)",6,7,0.013568144106125068,-0.23764264138105573
"SVC(C=100, probability=True, random_state=0)",8,9,0.013568144106124409,-0.23764264138105579
"SVC(C=100, probability=True, random_state=0)",2,3,0.013568144106124709,-0.23764264138105584
"SVC(C=100, probability=True, random_state=0)",10,11,0.013568144106127458,-0.23764264138105584
"SVC(C=100, probability=True, random_state=0)",8,11,0.013562664658647824,-0.23765285860645874
"SVC(C=100, probability=True, random_state=0)",9,11,0.013561415256973646,-0.23765326885257418
"SVC(C=100, probability=True, random_state=0)",7,9,0.013552075477125856,-0.23765624212878364
"SVC(C=100, probability=True, random_state=0)",6,9,0.013552650693699224,-0.23766028462356847
"SVC(C=100, probability=True, random_state=0)",4,7,0.013545668090178308,-0.23766717739093435
"SVC(C=100, probability=True, random_state=0)",5,7,0.013540257405216416,-0.23766772824322563
"SVC(C=100, probability=True, random_state=0)",6,11,0.013527729122064814,-0.23767610612369927
"SVC(C=100, probability=True, random_state=0)",7,11,0.013525376692642702,-0.23767668269972586
"SVC(C=100, probability=True, random_state=0)",5,9,0.013484650637166968,-0.23771273432473938
"SVC(C=100, probability=True, random_state=0)",3,5,0.013518664261250538,-0.2377244744884443
"SVC(C=100, probability=True, random_state=0)",2,5,0.013503831051720174,-0.237725151622579
"SVC(C=100, probability=True, random_state=0)",4,9,0.013485198401250429,-0.2377281158934944
"SVC(C=100, probability=True, random_state=0)",4,11,0.013418349757498494,-0.2378102847302337
"SVC(C=100, probability=True, random_state=0)",5,11,0.013413517854015915,-0.23781766514252412
"SVC(C=100, probability=True, random_state=0)",2,7,0.013435585577907368,-0.23787659262072253
"SVC(C=100, probability=True, random_state=0)",3,7,0.013439823894110074,-0.23788846099810979
"SVC(C=100, probability=True, random_state=0)",3,9,0.0134492854815214,-0.23813090111349328
"SVC(C=100, probability=True, random_state=0)",2,9,0.013460869663892802,-0.2381346171145567
"SVC(C=100, probability=True, random_state=0)",3,11,0.013540520491732983,-0.23851056046873992
"SVC(C=100, probability=True, random_state=0)",2,11,0.013557141670809575,-0.23851471557770249
