estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"LogisticRegression(C=100, random_state=0, solver='newton-cg')",,,,,,,100.0,,,,0.051191939677785465,-0.33202873345344047
"SVC(probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.02349673565871653,-0.34920792852922916
"SVC(probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.02238028340390991,-0.3493576672291125
"SVC(probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.029131310600290575,-0.3520335840926349
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.1,,,0.028122994800633648,-0.3702084799246608
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.2,,,0.02811902019114999,-0.3702535424242632
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.30000000000000004,,,0.028115202301073627,-0.37029910942709426
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.4,,,0.0281114874641153,-0.37034511176937124
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.5,,,0.028107882303460542,-0.3703916713839106
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.6,,,0.028104355139948436,-0.37043860737012424
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.7000000000000001,,,0.028100916099288793,-0.3704860377784391
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.8,,,0.02809742778413868,-0.37053378348259236
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.9,,,0.028093930344299717,-0.37058189189212143
"LogisticRegression(C=100, random_state=0, solver='newton-cg')",,,,,,,1000.0,,,,0.06669063650111909,-0.3730744454490405
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.1,,,0.03048239164651297,-0.3769750747544266
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.2,,,0.03043320899562218,-0.3775083059134765
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.30000000000000004,,,0.030368087402035844,-0.37805494873504764
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.4,,,0.030311157052192745,-0.3786084883879163
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.5,,,0.03024314362855332,-0.3791533446894171
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.6,,,0.03017257222037251,-0.37969010030604144
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.7000000000000001,,,0.030096155227598172,-0.38023087603689093
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.8,,,0.030026051634860204,-0.38077435273654875
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.9,,,0.02995952739344523,-0.3813111934411896
"LogisticRegression(C=100, random_state=0, solver='newton-cg')",,,,,,,10.0,,,,0.03483407765929644,-0.41089422317676494
"SVC(probability=True, random_state=0)",,,,,,,1.0,,scale,rbf,0.032063138597576916,-0.4111489474046934
RandomForestClassifier(random_state=0),entropy,,,,,500.0,,,,,0.025637848086889122,-0.4112198723384533
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,10.0,,,,0.027829068616108066,-0.4250960330997494
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,100.0,,,,0.030947054290443535,-0.42760141588024786
