estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"SVC(C=100, probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.025869786697714513,-0.2582010141496844
"SVC(C=100, probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.0303893433284908,-0.26476204463279746
"SVC(C=100, probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.02635222522763116,-0.2663587654504563
"SVC(C=100, probability=True, random_state=0)",,,,,,,1000.0,,auto,rbf,0.03752324024991407,-0.3031300369616741
"SVC(C=100, probability=True, random_state=0)",,,,,,,1.0,,scale,rbf,0.04662880830658145,-0.3067665568775082
"SVC(C=100, probability=True, random_state=0)",,,,,,,100.0,,auto,rbf,0.03532736863660688,-0.3085768214018635
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,10.0,,,,0.026778417271030693,-0.32617251487858934
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,100.0,,,,0.03690767468140798,-0.32681870657854356
"SVC(C=100, probability=True, random_state=0)",,,,,,,1000.0,,auto,sigmoid,0.03156994197124456,-0.3271895116356558
"SVC(C=100, probability=True, random_state=0)",,,,,,,100.0,,auto,sigmoid,0.032331551342082404,-0.3346951464536298
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,1000.0,,,,0.048431595987902774,-0.335523782470535
"SVC(C=100, probability=True, random_state=0)",,,,,,,10.0,,auto,rbf,0.043851918226324754,-0.3549873054805035
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,1.0,,,,0.034973961773266546,-0.37192885282736265
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.9,,,0.044945627511199314,-0.38315590405044747
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.8,,,0.04494642677023283,-0.38317662367833194
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.7000000000000001,,,0.04494730068055964,-0.38319744028110414
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.6,,,0.04494824905829508,-0.3832183608076659
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.5,,,0.044949224324884886,-0.3832393284891912
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.4,,,0.044950250785102154,-0.38326037071172386
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.30000000000000004,,,0.04495132592005851,-0.3832814854909523
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.2,,,0.04495244724772704,-0.38330267313772143
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.1,,,0.04495361390813593,-0.38332393162084033
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.9,,,0.044918985912767564,-0.3833585888580851
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.8,,,0.04493807879900351,-0.383592524646409
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.7000000000000001,,,0.044961057390401356,-0.38383253491726005
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.6,,,0.044989648192955166,-0.3840792159582406
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.5,,,0.045024207919503664,-0.3843317408138255
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.4,,,0.045062847667096846,-0.3845883792537589
