estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,0.01,,,,0.055797723544043165,-0.3223202999976775
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,0.1,,,,0.06851291443904567,-0.3310364732573003
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,1000.0,,,,0.07018765749055748,-0.3348117518518064
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,1.0,,,,0.07018765749055748,-0.3348117518518064
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,10.0,,,,0.07018765749055748,-0.3348117518518064
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,100.0,,,,0.07018765749055748,-0.3348117518518064
"SVC(probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.0463605025877155,-0.3486768793955564
"SVC(probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.04705875077955384,-0.35027090904870894
"SVC(probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.047795151214289094,-0.35208798121137136
"LogisticRegression(random_state=0, solver='newton-cg')",,,,,,,0.01,,,,0.07387968392174456,-0.3522127728316341
"LogisticRegression(random_state=0, solver='newton-cg')",,,,,,,0.1,,,,0.12951028767611733,-0.36211236739987224
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.1,,,0.11176376332017668,-0.363263732636394
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.9,,,0.11706933245638373,-0.36337615135007206
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,0.001,,,,0.042201314903856486,-0.3635971520228197
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.8,,,0.11900972984022412,-0.3642256722726422
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.7000000000000001,,,0.12112675159784539,-0.3653538800028079
