estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",,,,,,,0.1,,,,0.1073165068590584,-0.34275118123096254
"LogisticRegression(C=0.1, random_state=0, solver='newton-cg')",,,,,,,0.01,,,,0.04109249672693635,-0.36558954379303465
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.1,,,0.07363096209552766,-0.3692731843847156
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.2,,,0.0736301860049688,-0.3692733113039119
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.30000000000000004,,,0.07362941003219489,-0.36927343812737456
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.1,,,0.07362234992070005,-0.3692735438069369
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.4,,,0.07362863413228059,-0.3692735649012773
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.5,,,0.07362785837680917,-0.36927369158706885
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.6,,,0.07362708275114598,-0.3692738181799848
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.7000000000000001,,,0.07362630728410606,-0.3692739446336275
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.8,,,0.07362553187565554,-0.3692740710663442
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.9,,,0.07362475657058522,-0.36927419745547574
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.2,,,0.07361459983351169,-0.36927480675154384
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.30000000000000004,,,0.07360685366906838,-0.3692760671568566
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.1,,,0.07353651129300416,-0.36927708912809126
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.4,,,0.07359911324542054,-0.36927732201402913
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.5,,,0.07359137960501566,-0.3692785739708865
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.6,,,0.07358364907880025,-0.3692798237439396
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.7000000000000001,,,0.07357592484205612,-0.36928106976411446
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.8,,,0.07356820824812868,-0.3692823103393579
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.9,,,0.0735604957292342,-0.36928354897267557
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.2,,,0.07345989853976075,-0.3692892312991246
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.30000000000000004,,,0.0733839750224814,-0.3693008844931677
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.1,,,0.07270269671050943,-0.3693109415868486
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.4,,,0.07330837638494996,-0.36931212955701015
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.5,,,0.07323315577865414,-0.3693231236092915
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.6,,,0.07315834397285916,-0.36933391477648253
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.7000000000000001,,,0.07308385088151316,-0.3693446309015177
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.8,,,0.07300954210108612,-0.369355517857188
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.9,,,0.07293549917558757,-0.3693664699298388
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.2,,,0.07198042940712622,-0.3694311988796849
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.30000000000000004,,,0.07123689430005882,-0.3696021191120361
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.4,,,0.07048367888660409,-0.3697862108059234
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.5,,,0.0698370133924567,-0.36992264165535454
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.6,,,0.06921626602611668,-0.370064646358275
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.7000000000000001,,,0.06853864024993832,-0.37027378288703955
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.8,,,0.06784803201019111,-0.3705310599795122
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.9,,,0.06715833753880202,-0.37079091934563974
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.1,,,0.0650233550013088,-0.3714811136947444
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.2,,,0.05765713083690012,-0.3778201138882253
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.30000000000000004,,,0.05067534274816759,-0.3860093492040443
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.4,,,0.0437561827037537,-0.3961313672990917
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.5,,,0.03994533233340012,-0.4032360150702745
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.6,,,0.03730012535477874,-0.40921027577170976
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.7000000000000001,,,0.034542356045390056,-0.4144575936125657
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.8,,,0.03255924858463864,-0.4191053969246997
"LogisticRegression(penalty='l1', random_state=0, solver='liblinear')",,,,,,,1.0,,,,0.13107919417171757,-0.42155992295746464
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.9,,,0.03133407463546431,-0.4232404911148702
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.01,,,,0.033741965193532515,-0.43745559549274526
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.1,,,,0.04262378255436956,-0.448957970796258
"SVC(probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.037830030068302316,-0.4491522428578986
"SVC(probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.03885199363473415,-0.4494642621302691
"SVC(probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.038003514471415416,-0.4503769424889992
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.001,,,,0.029712543117576016,-0.45860631227898396
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,10.0,,,,0.041677486540475775,-0.45951474427903116
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,1000.0,,,,0.041677486540475775,-0.45951474427903116
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,100.0,,,,0.041677486540475775,-0.45951474427903116
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,1.0,,,,0.04053825041394351,-0.46009127941464173
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.01,0.1,,,0.025370091059413062,-0.4651400907371245
