estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,0.01,,,,0.0402672208550028,-0.34921774307181563
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,0.1,,,,0.06859777197266322,-0.3500478057690861
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,1000.0,,,,0.07179151153687702,-0.35022541721676914
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,10.0,,,,0.07179151153687702,-0.35022541721676914
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,100.0,,,,0.07179151153687702,-0.35022541721676914
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,1.0,,,,0.0724079239214397,-0.35030678457688136
"SVC(probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.04767077859830649,-0.3510801624565734
"SVC(probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.04944513292353851,-0.3516008910807569
"SVC(probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.04883287599973316,-0.352676762405462
"LogisticRegression(random_state=0, solver='newton-cg')",,,,,,,0.01,,,,0.07478833827924478,-0.36150197273997187
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,0.001,,,,0.04158265334484277,-0.36947566473312254
"SVC(probability=True, random_state=0)",,,,,,,1.0,,scale,rbf,0.06937529651276127,-0.3788619505517051
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.4,,,0.1263753196679843,-0.38748109375336914
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.30000000000000004,,,0.12908858873321197,-0.3877437592312772
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.5,,,0.12390729339730508,-0.38790131450513243
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.2,,,0.13171348770663116,-0.38869715762278734
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.6,,,0.12216634260679521,-0.38902079219184577
