estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.1,0.4,1,10,0.06281771150312468,-0.2870765994414251
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.1,4,50,0.05564897474533636,-0.2882109924460308
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.4,5,50,0.07525532592005571,-0.29042214891935625
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.1,3,50,0.06222440213250981,-0.297989523502156
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.7000000000000001,2,50,0.053832715109829433,-0.30142381066668583
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.1,0.1,5,50,0.07072453198775802,-0.3058123503839127
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.7000000000000001,4,100,0.06335480218220535,-0.3062485370369064
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.7000000000000001,5,50,0.05495806815630258,-0.30638013285491666
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,sigmoid,0.1,0.7000000000000001,1,10,0.049151341775947266,-0.3067296364553648
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.1,0.1,1,10,0.05802524616741329,-0.3088016282341338
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.7000000000000001,3,50,0.07105178058180271,-0.31027422896740664
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.001,0.7000000000000001,4,100,0.05596304269713957,-0.31050981100984953
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.1,5,100,0.03763854258639901,-0.3124080974674649
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.4,4,100,0.05808413815830724,-0.31449579193759786
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.1,4,150,0.0666171856200775,-0.3146482636003311
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.7000000000000001,5,100,0.08044415276152818,-0.31521377945913936
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.4,3,50,0.04663980720038848,-0.3161566825643579
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.1,0.4,2,10,0.05917111487168365,-0.31660989486912994
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.1,0.1,4,50,0.07935106476574949,-0.31736461086129325
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.1,5,150,0.055519800412318014,-0.31863768808141046
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.1,4,100,0.06731814588079205,-0.31871351194988906
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.001,0.7000000000000001,5,200,0.06540189559656394,-0.3191225678044517
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.1,5,50,0.07269725630532956,-0.31930071553339084
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.7000000000000001,4,50,0.07009606417642048,-0.3205278620083508
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.4,4,200,0.05649931953957968,-0.32102896167338535
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.001,0.7000000000000001,4,200,0.04146831607271469,-0.3220779520128937
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.001,0.7000000000000001,5,100,0.059548279115475375,-0.32311525204010405
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.1,0.4,3,10,0.0585239407379707,-0.32352868436348314
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.001,0.4,5,100,0.04859912488634719,-0.3244627693800909
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.4,5,100,0.08343760761667167,-0.3263209934899772
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.1,0.1,2,50,0.07090594691065316,-0.32689345663311375
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.1,0.1,2,10,0.10012533995737687,-0.32748548524011145
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.1,5,200,0.07565599896567668,-0.3290404291195918
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.001,0.7000000000000001,5,150,0.056847176332004444,-0.3293409904539629
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.7000000000000001,5,200,0.09221055969263606,-0.3300256129719528
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.1,0.7000000000000001,1,10,0.08451285633222874,-0.330304712236141
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.4,5,200,0.04878090201212736,-0.33050111455091585
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.1,2,50,0.03410253427867679,-0.3331186756642071
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.001,0.7000000000000001,4,50,0.050683979119733095,-0.3334589069097012
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.7000000000000001,3,100,0.04523608122781175,-0.3335646326568061
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.7000000000000001,5,150,0.10026118059363577,-0.33370745246020334
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.4,2,50,0.05703800009989196,-0.3340129704158147
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.4,3,100,0.06244474402778993,-0.33407359613855736
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.4,2,100,0.057305763712234094,-0.33415413515375564
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.1,0.7000000000000001,2,50,0.09201918374369378,-0.3345569319659789
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.4,4,150,0.0604197875334844,-0.3347923605331095
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.4,4,50,0.06932417891041696,-0.3349210876679914
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,sigmoid,0.1,0.4,1,10,0.03805695635430096,-0.3353992590759601
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.4,3,150,0.0487238885590341,-0.33542179888548035
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.1,4,200,0.04585979368625581,-0.33564160050641795
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.01,0.7000000000000001,2,10,0.07248219057737453,-0.33570366074759994
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.001,0.7000000000000001,4,150,0.043323215495752514,-0.3368862293206612
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021460C035E0>,tanh,0.1,0.7000000000000001,3,50,0.08955402439743299,-0.33704054507117864
