estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021466F1E640>,tanh,0.01,0.4,5,50,0.044758719241196225,-0.28467519818764536
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021466F1E640>,tanh,0.01,0.1,5,50,0.025087846007942685,-0.2885559448843966
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021466F1E640>,tanh,0.1,0.1,2,10,0.054034732946193674,-0.2924826724855368
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021466F1E640>,tanh,0.01,0.7000000000000001,5,50,0.054978088470135744,-0.3004671342052251
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021466F1E640>,tanh,0.1,0.4,4,50,0.07939960834335573,-0.30103799622505606
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021466F1E640>,tanh,0.01,0.7000000000000001,3,50,0.048960807685837514,-0.30143981622282434
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021466F1E640>,tanh,0.01,0.4,5,100,0.03427874698761398,-0.30186952811449463
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021466F1E640>,tanh,0.01,0.4,3,10,0.04985247762973799,-0.30707430825617243
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021466F1E640>,tanh,0.01,0.4,4,50,0.06229380950814356,-0.3081920899276652
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021466F1E640>,tanh,0.01,0.1,4,50,0.060085770385948735,-0.3109962816325199
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021466F1E640>,tanh,0.01,0.1,3,50,0.027347621965990124,-0.3163213281103131
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021466F1E640>,tanh,0.01,0.4,4,100,0.0488049999310705,-0.316751455030955
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021466F1E640>,tanh,0.01,0.4,3,50,0.040522592871197916,-0.31877261704260496
