estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002145EE08EB0>,sigmoid,0.1,0.4,2,200,0.056249455518442966,-0.2582691511167543
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002145EE08EB0>,sigmoid,0.1,0.1,2,150,0.052566699428643324,-0.25934757061707125
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002145EE08EB0>,sigmoid,0.01,0.7000000000000001,2,200,0.04620985152540311,-0.2620714864717097
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002145EE08EB0>,tanh,0.01,0.4,3,150,0.06460643492855939,-0.2632087975692695
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002145EE08EB0>,sigmoid,0.1,0.4,1,100,0.06883836198799792,-0.26604977032043464
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002145EE08EB0>,sigmoid,0.01,0.7000000000000001,2,150,0.04956738318043372,-0.2671946832434381
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002145EE08EB0>,sigmoid,0.01,0.7000000000000001,2,100,0.05213977841780518,-0.2672828328972073
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002145EE08EB0>,tanh,0.1,0.1,1,50,0.06492122159069844,-0.26770005278984044
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002145EE08EB0>,sigmoid,0.1,0.4,2,150,0.06465674308892934,-0.2685522271177111
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002145EE08EB0>,tanh,0.01,0.4,2,200,0.05884749089737839,-0.27164265351113015
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002145EE08EB0>,sigmoid,0.1,0.1,1,100,0.07459304098226975,-0.2726515808089733
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002145EE08EB0>,tanh,0.01,0.1,4,100,0.06224853512617813,-0.27343675809627316
