estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.01,0.7000000000000001,4,100,0.056456507943733414,-0.31866065414392525
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.01,0.7000000000000001,3,50,0.041342985442348566,-0.32586294399935134
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.01,0.7000000000000001,5,50,0.05058825298406604,-0.32677136180839306
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.01,0.7000000000000001,5,100,0.0462700365048505,-0.3281942860268038
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.1,0.4,3,100,0.05944557299379114,-0.328963994303964
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.01,0.7000000000000001,4,50,0.08089540779963593,-0.3292142193770373
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.01,0.7000000000000001,4,200,0.06595294606442027,-0.33311417242958585
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.01,0.7000000000000001,3,150,0.045270362151050715,-0.335816170213827
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,relu,0.01,0.7000000000000001,2,150,0.032475733297535864,-0.3359082128469747
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,relu,0.1,0.7000000000000001,1,200,0.03459245905494078,-0.3364572968742686
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.01,0.7000000000000001,5,200,0.07083398362411628,-0.3369430818315047
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.1,0.7000000000000001,4,50,0.0854158432837565,-0.33829567429673935
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.1,0.1,2,150,0.028129128296333843,-0.3395069694095011
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.01,0.4,3,150,0.04469910786110654,-0.33953348535916594
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,relu,0.01,0.7000000000000001,4,150,0.028091861352692524,-0.3397317698323894
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.01,0.7000000000000001,3,100,0.04138738397451552,-0.3405109029974411
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,relu,0.1,0.4,2,150,0.017735778718467904,-0.34051677636585953
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.1,0.1,4,50,0.04975016946007956,-0.3405319110492247
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.01,0.1,5,150,0.05069226792866231,-0.3406378485166681
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.01,0.7000000000000001,3,200,0.044037957032777277,-0.3411153470157712
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.01,0.4,5,100,0.0519762780939574,-0.3413091233656872
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.01,0.7000000000000001,4,150,0.060776151325304166,-0.341485497669577
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.01,0.7000000000000001,2,100,0.036775704260928764,-0.34194251455416014
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.1,0.4,2,50,0.05457727222588899,-0.34199975155904866
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287D8B370>,tanh,0.01,0.7000000000000001,2,200,0.029584970962878675,-0.3427909967317245
