estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.4,5,100,0.07343238512438603,-0.32558699452747164
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.4,5,50,0.09937498900848787,-0.32720350631484124
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.4,4,50,0.08719331936225894,-0.3320143069414606
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.7000000000000001,3,50,0.09670112339914594,-0.332924712875463
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.7000000000000001,5,100,0.11015047906515114,-0.3372206769985283
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.1,5,50,0.09850273126300407,-0.34323691224275343
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.7000000000000001,4,50,0.0797651374403345,-0.34473368984097863
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.1,0.7000000000000001,4,100,0.0956818755747569,-0.34540423065251014
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.1,3,50,0.09190394240394009,-0.3472684493394127
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.4,3,50,0.0807887796959666,-0.3498554882454669
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.1,5,100,0.08668949492283179,-0.35009373852222475
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.1,0.1,3,50,0.09899830770025594,-0.354084568471808
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.7000000000000001,2,50,0.07296968927463912,-0.3565939968649338
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.001,0.7000000000000001,5,100,0.05114980905546809,-0.3566181229266555
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.1,5,150,0.11208189772842989,-0.35666279516921456
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.7000000000000001,2,10,0.08851559148892157,-0.3581035019236011
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.1,0.4,5,100,0.12288784185158913,-0.35840562027095607
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.1,0.1,5,50,0.11864880812196175,-0.3590332820432189
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.7000000000000001,5,50,0.10903309958769947,-0.35921880749386337
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.4,5,150,0.10502916810953403,-0.35996247017539784
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.1,4,50,0.07316379539083168,-0.360245128749617
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.1,0.4,5,50,0.07797389443648713,-0.36092983414978175
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.1,0.7000000000000001,1,10,0.07851712730003621,-0.36368388513868877
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.001,0.7000000000000001,5,50,0.07584910468775546,-0.3653090412742486
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.4,4,150,0.09185487888695354,-0.3656119471166313
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.001,0.7000000000000001,5,150,0.06287867912682697,-0.3670424852525394
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.001,0.7000000000000001,4,150,0.05362444817547468,-0.36717524696861237
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.1,2,50,0.05912581687855865,-0.36805097179068236
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,sigmoid,0.1,0.7000000000000001,1,10,0.060205712063581836,-0.36814842993899405
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.1,0.4,5,200,0.10677886156882584,-0.369920353979368
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.1,0.7000000000000001,5,100,0.10530776675155627,-0.37079941678842543
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.001,0.4,5,50,0.0662620162237882,-0.3717839209155293
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.01,0.4,4,100,0.10391845036199357,-0.37194926428573305
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182882500D0>,tanh,0.001,0.4,5,200,0.03830003573199115,-0.37195667179906516
