estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.01,0.7000000000000001,1,200,0.05983182278804435,-0.30433757608051254
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.1,0.7000000000000001,1,150,0.07647217722281824,-0.3066916609993275
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.01,0.4,2,150,0.07567281874514678,-0.3112782840645941
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.1,0.1,1,100,0.030606036071528956,-0.31160253039861097
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.1,0.7000000000000001,1,200,0.09781830321691126,-0.31196345365535605
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.1,0.1,1,200,0.053451811482035406,-0.31203592527461244
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.1,0.1,1,150,0.06723822907591795,-0.31394818663790547
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.01,0.4,3,200,0.09338840763909377,-0.3145095525536535
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.1,0.4,1,150,0.07353161403669164,-0.3150153439655145
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.1,0.1,1,50,0.06194557615281538,-0.315223365251248
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.01,0.7000000000000001,3,200,0.07221634658548629,-0.3152367687345489
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.01,0.7000000000000001,1,150,0.0562041285658959,-0.31542450432660096
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.01,0.7000000000000001,1,100,0.07722335200913613,-0.3159080863239674
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.01,0.4,2,100,0.06438049182997144,-0.3168097198807726
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.1,0.4,1,100,0.06708695018485508,-0.3171402835195355
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.01,0.1,3,200,0.07810045714046464,-0.31767228829022154
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.01,0.7000000000000001,1,50,0.053657626211489215,-0.3177964802506503
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.1,0.4,1,200,0.08831224092005889,-0.3178689866094192
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.01,0.7000000000000001,2,100,0.06801083675669033,-0.3182062918785748
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.01,0.1,2,200,0.08918596161446563,-0.3192516246317059
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.01,0.7000000000000001,2,150,0.05115323993315518,-0.32028026283472233
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.01,0.7000000000000001,1,150,0.07360461508593577,-0.3203159061648215
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.1,0.4,1,50,0.06706179594373998,-0.32046638894395946
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.1,0.1,2,100,0.04322890752267404,-0.32123796657685955
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.01,0.4,2,200,0.08230983422585504,-0.3226798360409837
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.01,0.7000000000000001,1,100,0.053719780011441565,-0.3229683008269351
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.001,0.7000000000000001,3,150,0.05794458462154877,-0.32426937532491185
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.01,0.1,1,200,0.07195225093916681,-0.32510344331208585
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.001,0.7000000000000001,5,200,0.07556238344001717,-0.3251504302880045
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.01,0.7000000000000001,2,200,0.08288957991557876,-0.32602739565367467
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.01,0.7000000000000001,1,200,0.06495965435189882,-0.32659140998389186
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.01,0.4,1,150,0.05482488577945919,-0.3275950304197848
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.01,0.7000000000000001,2,150,0.08022179503847986,-0.3278072661725478
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.01,0.4,1,200,0.07948618704298561,-0.32781179453613907
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.001,0.7000000000000001,4,200,0.07537892451935872,-0.3280629234967698
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.1,0.1,2,150,0.06583892433162383,-0.328990057001011
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.001,0.4,3,200,0.059662473527876694,-0.3290037316033424
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,tanh,0.001,0.7000000000000001,3,200,0.07240947593679907,-0.32962475273427677
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000018287C61490>,sigmoid,0.01,0.4,1,200,0.05497975000104851,-0.33023462518431557
