estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"SVC(C=10, probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.04422218716645132,-0.34551382035405986
"SVC(C=10, probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.04680635390910621,-0.34555386684360406
"SVC(C=10, probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.03227978690096275,-0.3523774425606319
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,10.0,,,,0.03539056652229195,-0.3863160950173886
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,100.0,,,,0.03873759534854992,-0.4023719005747345
"SVC(C=10, probability=True, random_state=0)",,,,,,,1000.0,,auto,rbf,0.024947423308265,-0.40485590391832904
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,1.0,,,,0.02746976996779269,-0.40954244122936434
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,1000.0,,,,0.03613316183332872,-0.4172088140560307
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.9,,,0.05108379329860569,-0.4265605399501979
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.8,,,0.051088545440079014,-0.42656107094056345
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.7000000000000001,,,0.051093341182308225,-0.4265616696704077
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.6,,,0.051098165935638346,-0.42656230610253265
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.5,,,0.05110301343757948,-0.42656296803074784
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.4,,,0.051107890505579415,-0.4265636606527279
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.30000000000000004,,,0.051112797384639,-0.42656439718676475
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.2,,,0.051117721628901235,-0.4265651876331528
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.1,,,0.05112267042225364,-0.4265660177088318
"LogisticRegression(random_state=0, solver='newton-cg')",,,,,,,10.0,,,,0.0478652547707939,-0.42715816391921785
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.1,,,0.05079210908571321,-0.42748035042901983
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.2,,,0.050748601492076745,-0.4274922606735315
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.30000000000000004,,,0.05070771485165039,-0.4275084763484899
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.4,,,0.05067077084751537,-0.4275309711222774
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.5,,,0.05063640149843813,-0.42755946707639536
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.6,,,0.050602463250868014,-0.4275928241013485
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.7000000000000001,,,0.050572947683608524,-0.42763261538869674
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.8,,,0.05054686734312456,-0.4276755633177638
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.9,,,0.05052492600574726,-0.42772228556229824
"SVC(C=10, probability=True, random_state=0)",,,,,,,1000.0,,auto,sigmoid,0.02393195801212541,-0.43011070611380536
"SVC(C=10, probability=True, random_state=0)",,,,,,,1.0,,scale,rbf,0.06590328082983801,-0.43859186151863383
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.1,,,0.04873612802785951,-0.4417550733763
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.2,,,0.04893715001310401,-0.4431874910888561
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.30000000000000004,,,0.049283588237941524,-0.4445442598544573
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.4,,,0.04970923201994569,-0.4459600047788868
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.5,,,0.050144527964541954,-0.4475715432390667
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.6,,,0.05073073004734847,-0.44906434567513703
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.7000000000000001,,,0.05138816195104211,-0.45031065771937895
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.8,,,0.05197702267903148,-0.4514338748000065
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.9,,,0.05246538768323903,-0.45244778250504913
"LogisticRegression(random_state=0, solver='newton-cg')",,,,,,,100.0,,,,0.07419344106400975,-0.46930831328077777
RandomForestClassifier(random_state=0),entropy,,,,,500.0,,,,,0.04276053955274596,-0.4881320649748709
"LogisticRegression(penalty='l1', random_state=0, solver='liblinear')",,,,,,,10.0,,,,0.04800115707981836,-0.5250081303867428
RandomForestClassifier(random_state=0),gini,,,,,500.0,,,,,0.12898476529322753,-0.5569116883944926
"SVC(C=10, probability=True, random_state=0)",,,,,,,100.0,,auto,rbf,0.018414509520769815,-0.560462880099878
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.1,,,,0.015866201545705606,-0.5798953257359009
"LogisticRegression(random_state=0, solver='newton-cg')",,,,,,,1.0,,,,0.03420110623104132,-0.5915819601477639
