estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"LogisticRegression(C=100, random_state=0, solver='newton-cg')",,,,,,,100.0,,,,0.04980521570234073,-0.3975418250780016
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.9,,,0.02983950308897514,-0.4143323002534169
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.8,,,0.02982750258595172,-0.4143447903829253
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.7000000000000001,,,0.0298155026697649,-0.4143572693857901
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.6,,,0.02980349147744575,-0.4143697587620787
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.5,,,0.029791474089737237,-0.4143822515845262
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.4,,,0.02977944693359786,-0.41439475130883097
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.30000000000000004,,,0.029767415787355762,-0.41440724860749817
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.2,,,0.029755380610296353,-0.4144197438775712
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.1,,,0.029743341079035028,-0.4144322366968455
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.9,,,0.029415101049765458,-0.4153475251096877
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.8,,,0.02930583327142798,-0.4154809440459891
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.7000000000000001,,,0.029196397366440682,-0.41561450327746785
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.6,,,0.02908676837494999,-0.41574807175760464
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.5,,,0.028976872281242915,-0.415881747497772
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.4,,,0.028866809013318114,-0.4160151361651252
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.30000000000000004,,,0.02875633762499994,-0.41614862955940346
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.2,,,0.028645564771502204,-0.41628224209683273
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.1,,,0.028534395857473045,-0.4164157884803423
"LogisticRegression(C=100, random_state=0, solver='newton-cg')",,,,,,,10.0,,,,0.022919798608066044,-0.42100033951281396
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.9,,,0.02437298644336155,-0.42581447218819335
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.8,,,0.023799848854118563,-0.42754585901038356
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.7000000000000001,,,0.023327101264081454,-0.42936454527599216
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.6,,,0.02287335496528282,-0.43123206748166876
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.5,,,0.022479631466118775,-0.43315290402524786
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.4,,,0.022127182992102843,-0.43508725825146355
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.30000000000000004,,,0.021807987071097337,-0.43703361023015896
"SVC(probability=True, random_state=0)",,,,,,,100.0,,auto,rbf,0.03459065055519445,-0.43765599413873446
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.2,,,0.0214166595950537,-0.4389014170079867
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.1,,,0.02097796254204428,-0.44070939536799447
"SVC(probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.033872171654383484,-0.4412248646779828
"SVC(probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.02382530278017913,-0.4513627345381406
"LogisticRegression(penalty='l1', random_state=0, solver='liblinear')",,,,,,,10.0,,,,0.062380407504963105,-0.4523697205033727
"SVC(probability=True, random_state=0)",,,,,,,1000.0,,auto,rbf,0.0384088305690384,-0.4622553259207328
"SVC(probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.02335211654825026,-0.46811974747409674
"SVC(probability=True, random_state=0)",,,,,,,10.0,,auto,rbf,0.03966756616001491,-0.46898585008650084
