estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"SVC(C=10, probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.06198653433737605,-0.39504735821951015
"SVC(C=10, probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.05390196521159137,-0.3961494251741967
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.01,,,,0.037007436803808656,-0.40136272150749336
"SVC(C=10, probability=True, random_state=0)",,,,,,,10.0,,auto,rbf,0.05273307769026786,-0.4040783086390382
"SVC(C=10, probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.05510464080417867,-0.40590081049613047
"SVC(C=10, probability=True, random_state=0)",,,,,,,100.0,,auto,rbf,0.05086214853972438,-0.41105583300703047
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,10.0,,,,0.03107799666908103,-0.41362073802746363
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,100.0,,,,0.03107799666908103,-0.41362073802746363
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,1000.0,,,,0.03107799666908103,-0.41362073802746363
"SVC(C=10, probability=True, random_state=0)",,,,,,,1000.0,,auto,rbf,0.05143437215081481,-0.4137244891388895
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.1,,,,0.041353208939736555,-0.4154194641482108
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,1.0,,,,0.04246825402288238,-0.4156519713240554
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.5,,,0.0632035706945359,-0.4190443090136938
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.4,,,0.06475162622051935,-0.41910674994937347
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.6,,,0.06164357894039937,-0.41919205453372915
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.30000000000000004,,,0.06628618711738227,-0.41939750959978445
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.7000000000000001,,,0.06001472062380869,-0.4196628374779747
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.2,,,0.06780553280742564,-0.419921354494286
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.8,,,0.058383206017996764,-0.42034656207467924
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.1,,,0.06934420789942362,-0.4207958599203498
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.9,,,0.06987938958904398,-0.42100703956051183
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.8,,,0.07004126602836498,-0.42112574239701245
