estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"SVC(C=100, probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.05123199210272226,-0.3980485082679993
"SVC(C=100, probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.0599257969843971,-0.40982330294227587
"SVC(C=100, probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.05485502367842204,-0.4226141449158566
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.01,,,,0.04257671995731771,-0.4296694209474792
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.1,,,0.06220586398425259,-0.4353975969832278
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.2,,,0.062166619645949966,-0.4354048843026616
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.30000000000000004,,,0.062126087322971126,-0.4354136757107578
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.4,,,0.06208416254701391,-0.4354252053354936
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.5,,,0.06204117609458735,-0.43543953611821296
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.6,,,0.0619976800056346,-0.43545664288746766
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.1,,,0.06256649555423174,-0.43546059719369995
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.2,,,0.062562791832467,-0.4354608803159012
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.30000000000000004,,,0.06255905237688159,-0.4354611545957954
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.4,,,0.06255529232859543,-0.4354614389672379
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.5,,,0.0625515092861747,-0.4354617235583215
