estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"LogisticRegression(C=100, random_state=0, solver='newton-cg')",,,,,,,100.0,,,,0.05288024424837866,-0.4034350216109569
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.1,,,0.023835986442177187,-0.40973747131721083
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.2,,,0.023796510536771984,-0.40977278980003823
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.30000000000000004,,,0.023757137754035276,-0.40980842006964713
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.4,,,0.0237178042265115,-0.40984440282584844
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.5,,,0.023678508551160493,-0.4098807273472772
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.6,,,0.023639311909110165,-0.409917360089003
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.7000000000000001,,,0.023600212550328254,-0.40995421608913823
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.8,,,0.023561204319287318,-0.40999137456696644
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.9,,,0.02352237282455353,-0.41002876457969
"LogisticRegression(C=100, random_state=0, solver='newton-cg')",,,,,,,10.0,,,,0.024839307729400007,-0.41174123392661227
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.1,,,0.022864281161227094,-0.4123369809488625
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.2,,,0.022491374965624807,-0.4127432931456719
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.30000000000000004,,,0.022137023356119542,-0.4131550895828807
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.4,,,0.021790249269680605,-0.41356854513679375
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.5,,,0.02144957566731242,-0.41399528711399886
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.6,,,0.021119480519164444,-0.41443257163627745
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.7000000000000001,,,0.020806241077323102,-0.41488718521045076
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.8,,,0.020512197224833977,-0.4153663331311268
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.9,,,0.020234527877131328,-0.4158605236125063
"SVC(probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.0320528316509778,-0.43280178781324175
"SVC(probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.03363176329744613,-0.4385998617927708
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.1,,,0.016055000534248694,-0.442704020111655
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.2,,,0.014385666955611989,-0.44945490898241297
"SVC(probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.02592205307525563,-0.45553301508494914
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.30000000000000004,,,0.013815924031769254,-0.4566157006540837
"LogisticRegression(penalty='l1', random_state=0, solver='liblinear')",,,,,,,100.0,,,,0.0841825421419299,-0.4588723914942535
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.4,,,0.01370968269754934,-0.4632988970433436
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,10.0,,,,0.025098270203097534,-0.4679819197357583
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.5,,,0.013872373262114985,-0.46937242814209634
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.6,,,0.013699150835099323,-0.4746549741795002
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.7000000000000001,,,0.013164988604433272,-0.4792547325339812
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.8,,,0.012567696871965942,-0.48337279521566145
