estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,tanh,0.01,0.1,2,150,0.029015917383068263,-0.22763574449552598
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.1,0.1,1,100,0.013279290030206507,-0.22980189667982648
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.1,0.1,1,50,0.0277059003087829,-0.23456863793491592
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.1,0.1,2,150,0.02322595579851738,-0.2357913016081112
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.1,0.4,1,50,0.047260531553427326,-0.2362262508947447
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.1,0.1,1,150,0.017600641110865244,-0.23676475488279572
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.1,0.4,1,100,0.0072511520103734385,-0.2371635419019999
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,tanh,0.01,0.1,2,200,0.023510427810243015,-0.2382025027541285
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.1,0.1,2,200,0.014125837425922804,-0.23870852133352585
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.01,0.7000000000000001,2,200,0.021280449948410336,-0.24159375293930818
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.1,0.1,1,200,0.012516196766802766,-0.2418194601443017
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.01,0.4,2,200,0.02303511997458413,-0.2418276154646664
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.01,0.7000000000000001,1,100,0.024649758778087682,-0.24279497971466044
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.01,0.4,2,150,0.025463534235286158,-0.24304116852687044
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.01,0.7000000000000001,1,150,0.024246024727763705,-0.24338576546713053
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,tanh,0.01,0.7000000000000001,2,100,0.032970225295685066,-0.24453145531825474
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,tanh,0.01,0.1,3,200,0.03445077676992225,-0.2450790449650847
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.1,0.4,1,150,0.023285001889198978,-0.2452882708746762
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,tanh,0.01,0.1,4,200,0.04777251053512952,-0.24537538037413836
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.01,0.7000000000000001,2,50,0.024066720571926915,-0.24598315278908342
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.01,0.4,1,200,0.021419533871913844,-0.24607125714500053
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,tanh,0.01,0.1,3,100,0.01938251611665705,-0.24617458397304312
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.01,0.7000000000000001,1,200,0.021536715162471718,-0.24628370273157565
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.01,0.4,1,150,0.010733456586219868,-0.24636285092110158
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.1,0.1,2,50,0.04643674386965056,-0.24678707123523183
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,tanh,0.001,0.7000000000000001,5,200,0.015101633775361903,-0.24753374330653444
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,tanh,0.01,0.4,2,200,0.03807344586602955,-0.24831769006052815
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.1,0.4,2,150,0.022350673474600038,-0.2492905052244199
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.1,0.4,2,100,0.017513003698480047,-0.25022591109087833
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.1,0.1,2,100,0.03796522524183947,-0.250364719165767
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,tanh,0.01,0.4,3,200,0.018936243188064084,-0.25057341213284434
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,tanh,0.01,0.7000000000000001,2,150,0.033143418803164675,-0.25059886734969683
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.1,0.7000000000000001,1,150,0.03031401764598238,-0.25077927951060003
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,tanh,0.001,0.7000000000000001,4,200,0.027561205102615415,-0.2510887533326409
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.01,0.1,1,150,0.018303108727697314,-0.251630156762062
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,tanh,0.001,0.7000000000000001,3,200,0.04508130429179775,-0.2524087595945887
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.01,0.4,2,100,0.012463903272278106,-0.2528361869121776
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.01,0.4,1,100,0.027763283002566363,-0.25297718531910884
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,tanh,0.01,0.7000000000000001,3,200,0.04582207354852056,-0.2530152390196967
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.01,0.7000000000000001,2,150,0.0240394108643809,-0.25430208722199
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.1,0.4,3,150,0.05270862486596627,-0.25469995381658583
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,tanh,0.01,0.4,2,150,0.05288106558293258,-0.2547046558520981
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,tanh,0.01,0.1,1,200,0.03394821705438155,-0.25593041349059525
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.01,0.7000000000000001,2,100,0.030625164855672515,-0.25598909787468715
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000001BD91CC6C70>,sigmoid,0.1,0.7000000000000001,1,100,0.030021901344402253,-0.2562729966893208
