estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,3,200,0.033651206848744515,-0.2918285947682139
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.7000000000000001,1,50,0.03505692428625743,-0.300342637683971
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,4,200,0.05069099477175209,-0.3012663098976913
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.4,2,50,0.03963313037428377,-0.3019878386818359
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.1,2,50,0.048384385357258204,-0.3039731136998627
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.7000000000000001,1,10,0.03000904226426965,-0.3062273939554205
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.1,2,100,0.03991810148563156,-0.30670259499231534
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,3,100,0.04249466955623306,-0.30705319953281307
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,2,150,0.027444464156900016,-0.3086847773805092
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.4,2,200,0.019854313396385548,-0.3105203360983198
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.7000000000000001,1,100,0.014542907462923865,-0.31174673256439983
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.1,2,150,0.015752432723618686,-0.3123623078081429
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.4,2,100,0.03313602305681373,-0.3125899295957568
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,2,100,0.027712000251070727,-0.31282606848036315
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,3,150,0.0215150152426587,-0.31315551241644357
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.1,3,100,0.0487856029845763,-0.3138836241840646
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.7000000000000001,3,50,0.049504469469788814,-0.31402271821780137
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.1,0.7000000000000001,1,150,0.031112048705715874,-0.3140456979675027
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,5,200,0.050491126140701045,-0.31449721715461126
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.4,1,50,0.035961019064541716,-0.3149806533815245
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.1,3,150,0.05510732790554018,-0.31557648821218887
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.7000000000000001,2,100,0.04207117727567537,-0.31649955790626016
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,2,200,0.029200880686997072,-0.3181482690267185
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.7000000000000001,1,200,0.026869081953632603,-0.32098853852417125
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,4,150,0.04254498125207305,-0.3214005498713592
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.7000000000000001,2,50,0.039564696411573105,-0.3216765772725485
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.7000000000000001,2,200,0.03663054241116645,-0.32214101644751897
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.7000000000000001,1,150,0.025874208784479293,-0.32236061898128143
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.4,3,150,0.04140312352906374,-0.3226702771089246
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.4,4,100,0.03454558090787296,-0.32300874824341164
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.1,0.7000000000000001,1,100,0.03210397795982067,-0.3230595698265563
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.4,1,200,0.0170994941001174,-0.3246440333843975
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.4,1,10,0.023674977844006587,-0.3258699821041775
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.4,1,100,0.022509478981254306,-0.3264457244812985
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,4,100,0.03436428916910504,-0.3268715369916212
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.1,0.7000000000000001,1,200,0.021902178153360565,-0.3272186917378319
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.4,3,50,0.058615110498557554,-0.328471783218134
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.4,2,150,0.03490481020227375,-0.32850014463980226
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,3,50,0.05517826371066941,-0.3286349647369947
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.1,1,100,0.02277234562727759,-0.3291464363946809
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.1,0.4,2,150,0.04127542140303505,-0.32921631313033545
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.4,1,150,0.027697326181867443,-0.3300587106263042
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.1,0.7000000000000001,2,100,0.028965895775304427,-0.33010187402321345
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.4,5,200,0.047935104692094194,-0.331923467714548
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.1,1,50,0.021366787803030696,-0.33203650774080534
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,2,50,0.03736773805400817,-0.33278929030365695
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.1,5,200,0.04648119061165787,-0.33299151806496025
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.4,5,150,0.048319225749490435,-0.3330695614321457
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.1,0.7000000000000001,2,200,0.06092005915656149,-0.3333808186871875
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.1,4,150,0.04452823443146489,-0.33366585450373754
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.4,3,50,0.03967527664113003,-0.33394963731594596
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.1,5,150,0.027071964186010298,-0.33403780575807324
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.7000000000000001,2,150,0.05952157705707701,-0.33441765058936523
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.4,2,200,0.03376333836695682,-0.3350532635193518
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.4,2,150,0.03254996279840976,-0.33515919523432125
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.7000000000000001,2,10,0.09305807126802107,-0.3353410033777673
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.1,0.7000000000000001,1,50,0.030300213484805424,-0.33553767909478505
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,5,150,0.039949054252560574,-0.3361304187157027
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.4,3,150,0.01945039726762253,-0.3362193435152527
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.1,4,200,0.04167330637499079,-0.3363496834754518
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.1,3,200,0.032550500148756725,-0.3380389559447529
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,5,100,0.03957786178271683,-0.33827154958514916
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.1,1,150,0.022426780043477652,-0.33834604820025355
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.1,1,10,0.04357627540453667,-0.3389328132615669
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.1,1,200,0.028190195175171642,-0.33940849131830164
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.4,4,200,0.0356882366689273,-0.3409578725153984
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.4,2,50,0.02195207349376155,-0.3424513779798144
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,4,50,0.042340107436045576,-0.3439589636809791
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.4,3,200,0.04889698047920991,-0.3460308275893861
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.1,0.4,1,150,0.01630602638978589,-0.34641002598034926
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.1,3,150,0.030102400929903794,-0.34742065333894745
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.1,2,200,0.02411742323569001,-0.3477944623397467
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.7000000000000001,3,200,0.09924609103397262,-0.3479032077459473
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.1,4,100,0.010013210793850298,-0.3481610233341564
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.01,0.7000000000000001,2,200,0.022474365106739266,-0.34850408513167913
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.1,3,200,0.04735428917701777,-0.3495912034389731
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.01,0.7000000000000001,2,100,0.03650119499721273,-0.35026068220286505
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.1,0.7000000000000001,2,150,0.034058926240105696,-0.3503143180103551
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,5,50,0.03551490518028603,-0.3509119439309899
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.7000000000000001,3,150,0.04607262027745118,-0.35117512251977934
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.1,0.4,1,200,0.03868705766752555,-0.35121256497233877
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.1,0.4,3,100,0.04108955346683143,-0.35178141019382553
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.4,4,150,0.03500062498186178,-0.35252064585290344
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.1,3,100,0.014187953144641616,-0.35302477910476815
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.01,0.7000000000000001,3,200,0.04075519276801178,-0.3551067503216738
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.1,0.4,1,50,0.027738398282703285,-0.3555117011292105
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.1,0.1,1,200,0.03416390135474235,-0.35573924313406474
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.1,0.1,1,50,0.029827043902604475,-0.35597048759897965
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.4,2,100,0.027368698493019417,-0.3561251015183033
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.1,0.4,1,100,0.03005650349167958,-0.3578315674430882
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.001,0.7000000000000001,5,200,0.05275702937808677,-0.3578921264980809
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.1,2,150,0.03224346914162245,-0.3579320455418008
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,1,100,0.023330406524934715,-0.35832034354713216
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.01,0.7000000000000001,2,50,0.018918810057404027,-0.3592883288686288
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,1,150,0.02686526600289116,-0.35948796973602404
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.1,2,200,0.019793966907816832,-0.3605084114019662
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.1,0.1,1,100,0.031781493327103144,-0.3606450912528797
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.1,0.1,2,200,0.04664654258624979,-0.361385942893233
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,relu,0.01,0.7000000000000001,2,150,0.019612044665540732,-0.3618322353808953
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.7000000000000001,1,50,0.030375246756818946,-0.3621275688830916
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.4,5,100,0.041967541890157424,-0.36339143087874237
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.4,3,100,0.03362795946844236,-0.3636093557287514
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,tanh,0.01,0.1,3,50,0.02450545717236076,-0.3640748874326084
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000200F3C45BB0>,sigmoid,0.1,0.7000000000000001,1,10,0.03429561196335881,-0.36407603616460005
