estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.1,0.7000000000000001,2,50,0.08950148467493645,-0.2516958970060203
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.7000000000000001,2,150,0.07154549389369713,-0.26382317557093976
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.1,0.1,2,200,0.08452688797053239,-0.2680356686183448
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.7000000000000001,2,100,0.07230413287144134,-0.2684027340925608
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.7000000000000001,2,50,0.06337866047957941,-0.2693880802584846
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.01,0.1,4,50,0.08331977011379853,-0.2694545635943934
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.1,0.4,2,100,0.07975066160179602,-0.2695456553520802
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.7000000000000001,1,50,0.07259454530524322,-0.26985938507901325
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.4,3,150,0.0649514665168192,-0.27056511894453056
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.001,0.7000000000000001,5,150,0.07800541296814044,-0.2718824235083156
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.01,0.4,3,150,0.07579338780796505,-0.27243479542294613
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.001,0.7000000000000001,3,100,0.0787253769469204,-0.272441734157646
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.7000000000000001,2,200,0.07501431899084436,-0.2732095351495024
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.4,2,100,0.06611990102234383,-0.2740932994448524
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.4,2,200,0.0671116519759606,-0.2752819809412478
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.4,2,150,0.06706894584211466,-0.2756349170992084
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.1,0.4,1,100,0.09776640882435306,-0.2759236010881641
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.001,0.7000000000000001,5,100,0.08117625166794559,-0.27653127050840165
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.01,0.7000000000000001,2,50,0.10451589961949145,-0.2772998138166695
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.1,1,50,0.05884256539525849,-0.27749144615367216
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.4,3,200,0.06768812030088055,-0.27827221586180795
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.7000000000000001,1,150,0.08369469422927295,-0.27868125879390354
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.001,0.7000000000000001,4,200,0.0652592275174277,-0.27941042441552916
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.01,0.1,2,50,0.08037431623306696,-0.27986969606596385
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.1,0.1,2,100,0.06591643199306198,-0.2801749660769814
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.01,0.4,1,100,0.09801033865871475,-0.28110803016519814
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.001,0.7000000000000001,4,150,0.07106610396713652,-0.28160760812970975
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.01,0.4,2,50,0.10004372733474455,-0.2816836467268869
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.01,0.4,3,50,0.07887437377530161,-0.28179698731976066
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.01,0.7000000000000001,3,200,0.07590183341282798,-0.28184746214756456
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.001,0.7000000000000001,2,200,0.08740405308566673,-0.28269280485870213
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.1,0.4,1,50,0.10180389980854922,-0.28273937777489727
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.01,0.1,2,150,0.09136309602156507,-0.28293715761130417
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.1,0.1,1,50,0.0854763349319298,-0.2832105256999011
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.1,0.4,2,150,0.08689175853632114,-0.2833478295910097
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.01,0.1,4,200,0.07141084914981195,-0.2841388143428919
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.01,0.1,3,200,0.07955768857209054,-0.28422334707708646
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.01,0.1,2,100,0.0863748917892735,-0.2843300961749854
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.4,1,150,0.08291608686776586,-0.2845994849813799
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.1,1,150,0.07904490990760561,-0.284610610096137
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.1,0.7000000000000001,2,100,0.06569660683569085,-0.28475025431102946
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.1,2,200,0.07531730187253853,-0.28477452057916686
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.1,0.1,3,100,0.09557021017462461,-0.2848166136517345
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.001,0.7000000000000001,2,100,0.0744374027988156,-0.28483281220098816
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.001,0.4,3,100,0.08148186579085974,-0.28505004657472555
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.1,0.4,3,150,0.07404314273517494,-0.28511779501883605
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.1,2,150,0.07003107168108606,-0.2851413992545598
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.1,0.7000000000000001,1,50,0.09064759512078269,-0.28530712143571824
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.7000000000000001,3,150,0.06178919776657712,-0.2853696225904592
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.001,0.7000000000000001,2,50,0.07370207182718143,-0.28539865255725927
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.01,0.7000000000000001,3,100,0.08509976574844456,-0.28539972527191365
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.01,0.7000000000000001,3,50,0.0792077736744614,-0.2856531338617702
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.1,0.1,2,50,0.09219914722480739,-0.28570529288117424
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.1,0.1,2,50,0.093032532295671,-0.28594508629838317
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.001,0.4,4,100,0.08242504219409252,-0.2860008159568998
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.1,0.1,1,100,0.09191842031878622,-0.28697488531618764
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.01,0.1,4,100,0.08836226324556795,-0.2871614875100335
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.1,2,100,0.05855595967894282,-0.28728381670059094
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,tanh,0.01,0.1,1,50,0.08450368829886609,-0.2875636436688332
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000214613276D0>,sigmoid,0.01,0.4,3,100,0.06579590599929258,-0.28780165420989523
