estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.1,2,150,0.06453924994468128,-0.26403473683209355
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.1,1,50,0.065573777634252,-0.2659350779119004
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.4,2,150,0.05933720837065117,-0.26971629726408336
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.1,2,200,0.06247790463441609,-0.2707331789437514
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.4,1,200,0.05164214905226372,-0.271338576593705
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.1,1,100,0.06207894958345601,-0.27164568435947006
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.1,2,100,0.05154911706604535,-0.27269490187559764
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.7000000000000001,1,100,0.065271545377775,-0.27424209902590163
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.4,2,100,0.05828074175133096,-0.2758421781994896
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.7000000000000001,2,100,0.07593625709572255,-0.27598338855888976
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.7000000000000001,2,200,0.055705900457267254,-0.27667014200562395
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.4,2,200,0.04629934769051672,-0.27745541361795517
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.4,1,100,0.061789306521205796,-0.27814181056302123
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.4,1,150,0.05889489415402958,-0.2790905789227063
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.7000000000000001,2,200,0.06453905433197438,-0.2794744483534297
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.7000000000000001,2,150,0.06357215437886504,-0.28166663183395513
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.7000000000000001,1,150,0.07159346363991391,-0.28177425905284126
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.7000000000000001,2,150,0.05667403154261231,-0.2833127037314088
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.7000000000000001,1,200,0.06375966731317245,-0.2852394694076147
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.7000000000000001,2,100,0.04372799012942732,-0.28709861020066163
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.1,1,150,0.061601458367584745,-0.2878372012396157
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.7000000000000001,1,150,0.05726747077105533,-0.2893804743881033
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.4,2,200,0.042330431281886,-0.2914007696324622
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.4,2,150,0.043935299795399146,-0.2920412676284133
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.4,1,150,0.047536539355044725,-0.292559759936411
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.7000000000000001,1,50,0.057067562490979024,-0.2926766633203472
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.1,3,200,0.05055281011316721,-0.29420757623748706
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.01,0.1,4,200,0.030684511694265126,-0.29424955201996617
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.7000000000000001,1,100,0.05470985111960824,-0.2946358720207122
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.1,1,200,0.06159780148564178,-0.2952013178112973
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.4,1,200,0.05983359613831749,-0.29548734619679173
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.4,1,50,0.0740974424410297,-0.29920852586467994
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.1,1,150,0.05452765832412628,-0.299699889054239
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.4,3,200,0.05256958847634245,-0.30090000555027363
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.7000000000000001,1,200,0.07270720947562383,-0.3017490003737877
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.1,2,200,0.043531290650398125,-0.3017542665758053
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.1,1,100,0.0394244110530883,-0.30210780407451765
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.4,1,100,0.058394754412525174,-0.30266333556698044
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.7000000000000001,2,50,0.04987754182951852,-0.30278689371316647
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.1,2,150,0.05183601559305618,-0.3037198728304822
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.01,0.7000000000000001,2,200,0.05728656963433911,-0.3038721368537309
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.1,1,200,0.060425551394473316,-0.30412162937771564
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.1,2,50,0.0576216672743412,-0.3047533021633713
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.4,2,50,0.09013148077037023,-0.30655304770913366
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.01,0.7000000000000001,2,150,0.062488381098901515,-0.3068581651460623
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.7000000000000001,2,50,0.05510174333799213,-0.3071627221901535
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.7000000000000001,3,200,0.017998160119532154,-0.307309978001174
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.4,2,100,0.04973253873862043,-0.3079283816756425
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.1,3,100,0.05223655696779885,-0.30914894194023057
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.7000000000000001,1,50,0.07449265939860436,-0.31006897676902323
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.1,2,100,0.03827051524768421,-0.3104120864604302
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.4,3,200,0.026852898508963212,-0.31295832722376005
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.4,1,50,0.060319946441942114,-0.31316557437631687
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.4,3,150,0.036525964896164685,-0.313715329330394
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.1,3,150,0.03428941775664989,-0.3145677180671842
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.4,3,150,0.025003950768775693,-0.31489745230578287
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.001,0.7000000000000001,5,200,0.054001175859191786,-0.31903203390835777
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.1,0.4,3,200,0.04130702684753292,-0.3192282669206231
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.1,0.1,3,150,0.0554339257813674,-0.3194220420024376
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.01,0.4,1,150,0.046304006982785924,-0.3198591724079842
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.01,0.7000000000000001,3,200,0.052978694799623124,-0.32040081310863944
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.1,0.1,4,150,0.07366070956184607,-0.32058248244256793
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.001,0.7000000000000001,4,200,0.05225482978989821,-0.3206313396324195
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.01,0.7000000000000001,1,200,0.052706899725765435,-0.3230645519504707
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.4,3,100,0.055139160673390405,-0.3236127057237502
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.01,0.4,1,200,0.04606424453846061,-0.3244733897105754
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.1,0.4,3,150,0.039829015328323635,-0.3250552739577266
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.7000000000000001,3,100,0.0412332753843928,-0.325822396470811
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.01,0.1,2,150,0.0614947185776904,-0.3265480003517796
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.7000000000000001,3,150,0.04408367732064116,-0.3267333192517662
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.1,0.7000000000000001,3,100,0.06282918940365495,-0.3268715289779643
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.001,0.4,3,200,0.05525816874870752,-0.32770763406599424
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.01,0.1,4,150,0.05030037170195761,-0.32772778869455377
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.1,0.4,2,200,0.05142667386168972,-0.3280585964861356
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.1,0.4,2,150,0.07891106224877656,-0.32885164800683714
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.01,0.1,3,150,0.04917586282303025,-0.32934658134828043
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.01,0.4,5,100,0.04418161458709214,-0.3298807429583045
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.01,0.4,2,200,0.06670371856143609,-0.33063482626465823
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,sigmoid,0.01,0.4,2,50,0.04909345955346102,-0.33133837208912087
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.01,0.1,2,50,0.053685343101196874,-0.33145514472461957
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021465841820>,tanh,0.1,0.1,1,100,0.05469954530855019,-0.3316935401726036
