estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.7000000000000001,1,50,0.035554995806137676,-0.3403415816458029
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.7000000000000001,1,100,0.037865699175200336,-0.3429228048215721
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.7000000000000001,5,200,0.06094046334741843,-0.3477313869730499
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.4,1,50,0.03801231485793733,-0.34834755573480536
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.4,1,10,0.03517492275658417,-0.3504207394829114
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.7000000000000001,3,100,0.03750726064231426,-0.3507222442631171
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.7000000000000001,5,150,0.05325406464938517,-0.35113576405929336
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.7000000000000001,1,10,0.04184142127218316,-0.3512646759536764
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.1,2,50,0.022807568683242796,-0.3517567402516472
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.4,2,100,0.057489640357163585,-0.352094673692236
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.7000000000000001,2,50,0.03303447315375308,-0.3528680120573385
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.7000000000000001,2,100,0.033793189569083455,-0.35287493152195204
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.7000000000000001,3,150,0.03162034647239433,-0.3535643163999681
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.1,3,200,0.056460048835449736,-0.35405655860034824
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.7000000000000001,3,50,0.049636557663931255,-0.3544253553516325
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.1,2,150,0.030026405891282353,-0.3545538565518189
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.1,3,50,0.05515472340605281,-0.35528350495523864
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,relu,0.1,0.7000000000000001,1,100,0.030532160807411127,-0.3572870238448075
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.7000000000000001,4,200,0.0473881030104038,-0.357596463071824
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.7000000000000001,2,100,0.07878863487840974,-0.3583793633408627
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.7000000000000001,1,200,0.027167723085143272,-0.3619232263571179
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.7000000000000001,4,100,0.03965687319142027,-0.36209647967008207
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.7000000000000001,2,200,0.02682718446712841,-0.3621977986255959
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.7000000000000001,1,150,0.0331951544055279,-0.36425559070833746
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.1,1,50,0.03922615598672284,-0.36508610253037743
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.7000000000000001,4,50,0.04292768511894468,-0.36509330517121236
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,relu,0.1,0.7000000000000001,2,100,0.04816817474496397,-0.3653943270253327
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.7000000000000001,4,150,0.012937609437279863,-0.3656835429936017
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.4,4,150,0.02813402402037105,-0.36584878889933203
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.7000000000000001,2,50,0.04365861030359133,-0.3658578492215231
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.7000000000000001,4,100,0.07775786320204567,-0.36659473790890396
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.7000000000000001,2,150,0.02410261037943144,-0.3666916240847317
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.4,2,50,0.06363709156648305,-0.36708025871507594
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,relu,0.1,0.7000000000000001,1,150,0.026514178257324918,-0.36740298281490424
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.4,3,200,0.03209343679893936,-0.36838421321398407
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.4,4,200,0.053500853572447736,-0.36893130273606534
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.7000000000000001,2,200,0.06562769122143955,-0.3689385558948137
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.4,1,100,0.04200398706424904,-0.36898831913856334
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.7000000000000001,5,100,0.04661700399565366,-0.3690419385071363
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,relu,0.1,0.4,1,150,0.02372257696074827,-0.3692548289841577
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.1,1,150,0.026590761166020823,-0.36947545330261855
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.7000000000000001,3,200,0.03192084530396054,-0.370014466152394
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.1,5,200,0.03139686902890075,-0.3705223983019856
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.4,1,150,0.030473413848119975,-0.3708181737754118
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.4,2,150,0.033183388587935014,-0.37133791055576004
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.4,3,100,0.04007540479120743,-0.37275866380353706
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.1,2,200,0.026051865725149184,-0.37320926355985157
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.7000000000000001,3,50,0.04575283562418456,-0.37331689871372103
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,relu,0.1,0.7000000000000001,1,50,0.029003967409462143,-0.3739960803968085
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,relu,0.1,0.4,1,200,0.01980257174538988,-0.3743223377711867
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.7000000000000001,2,10,0.05720984663769793,-0.37447236770924863
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.4,3,200,0.07945242366101776,-0.3747130490476487
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.4,5,200,0.0496547326956204,-0.3753667006538641
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.1,4,200,0.02909022921327438,-0.375693620073369
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.1,3,150,0.028116441115459707,-0.37718211433177484
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,relu,0.01,0.7000000000000001,2,100,0.012166486906855938,-0.37731206724308947
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.4,3,150,0.014406274001410809,-0.3779636941697171
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,sigmoid,0.1,0.7000000000000001,1,10,0.05988827451344717,-0.3791711879813787
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.4,2,100,0.03827513148912511,-0.3793755680016059
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,relu,0.01,0.7000000000000001,2,200,0.0290716528551091,-0.3801603817813127
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.1,1,10,0.03786413773647673,-0.3806182493221238
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,relu,0.1,0.4,1,50,0.030886322391643562,-0.38088256113379865
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,relu,0.1,0.1,1,150,0.013233985988248096,-0.38169300412984497
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,relu,0.1,0.1,1,50,0.020959626693249973,-0.3817479714003563
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.1,3,100,0.03253984325726295,-0.3818486940300461
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.1,1,100,0.03658243375471362,-0.38206842802400987
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,relu,0.1,0.1,2,200,0.041444800384714715,-0.38225659509234733
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.01,0.1,4,100,0.0537619766056923,-0.3836557150149913
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,relu,0.1,0.1,1,200,0.03274034056776268,-0.3840076420765563
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,tanh,0.1,0.1,1,200,0.02508161680757774,-0.38412256050144566
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x00000182856F6C40>,relu,0.1,0.4,1,100,0.027326719049203568,-0.38412570147047853
