estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E2D2580>,tanh,0.01,0.1,3,200,0.022302960802570514,-0.245364949389902
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E2D2580>,sigmoid,0.1,0.1,1,150,0.019970966130717884,-0.24538511001238503
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E2D2580>,tanh,0.01,0.4,2,150,0.035352304097314394,-0.2467976395902287
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E2D2580>,tanh,0.01,0.1,3,150,0.022417194962343904,-0.24690707503122572
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E2D2580>,tanh,0.01,0.4,1,150,0.029941561388236504,-0.24700917102163242
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E2D2580>,tanh,0.01,0.4,4,100,0.027885434974200332,-0.24708103758170233
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E2D2580>,tanh,0.01,0.4,3,200,0.026995534592427938,-0.24767823812100065
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E2D2580>,sigmoid,0.1,0.7000000000000001,1,50,0.03565740011482342,-0.24779651914004544
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E2D2580>,tanh,0.01,0.4,2,50,0.028373184678337663,-0.2492473293234623
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E2D2580>,tanh,0.001,0.7000000000000001,4,100,0.022583934116664622,-0.25025856200803454
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E2D2580>,tanh,0.01,0.1,2,150,0.027949510640520966,-0.25031560550848597
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E2D2580>,tanh,0.01,0.4,4,200,0.033011626848831556,-0.25063257693653535
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E2D2580>,tanh,0.01,0.4,4,150,0.015976266816048162,-0.25086064837257405
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E2D2580>,tanh,0.01,0.7000000000000001,4,200,0.027631680443533868,-0.25208088984206706
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E2D2580>,sigmoid,0.1,0.7000000000000001,2,100,0.044457172627953415,-0.25439203899814594
