estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.7000000000000001,4,200,0.01655601363671032,-0.21920924755066323
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.4,4,200,0.017027087993934643,-0.22097537577377138
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.4,3,200,0.007106800777058445,-0.22163346166765682
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.1,3,200,0.021133939292133988,-0.22265483240346795
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.1,5,150,0.023963299053433976,-0.22919530057853854
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.1,4,150,0.015028796282943244,-0.233095222156051
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.1,4,200,0.04009698718658567,-0.23362768275779477
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.4,3,150,0.02243524933213704,-0.2375697634886659
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.7000000000000001,3,150,0.032022797540152755,-0.23923992623904364
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.01,0.7000000000000001,1,200,0.04261805933438712,-0.243118473580657
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.4,5,200,0.02741140873088429,-0.24391722929920745
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.4,4,150,0.02275806278916338,-0.24528675887495727
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.4,1,200,0.03196898235083652,-0.24893494669738367
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.4,2,150,0.020108359614827303,-0.24967242831685474
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.1,5,200,0.03476536890716946,-0.2509221402267497
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.7000000000000001,5,200,0.03413420701954178,-0.2510654722005611
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.01,0.1,1,200,0.018551902074314446,-0.25145208456998797
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.4,5,200,0.0375013804915772,-0.2525865449271376
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.4,2,200,0.03631110766437514,-0.2532443479365498
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.7000000000000001,3,200,0.02855609152332555,-0.25382168642677744
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.7000000000000001,5,200,0.02987848623207995,-0.25493894276929097
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.7000000000000001,2,200,0.03374817428103186,-0.25691870707232844
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.7000000000000001,3,200,0.019673210203067677,-0.2569852199413682
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.01,0.4,1,200,0.02225281973283843,-0.2592507729830376
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.1,2,200,0.03419673751044266,-0.2607365759209577
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.7000000000000001,1,200,0.03485919315466891,-0.2639153079479886
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.7000000000000001,1,200,0.06301429505296494,-0.26544899261075594
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.7000000000000001,4,200,0.014331969590733731,-0.26892206246997896
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.1,2,150,0.0275888767249738,-0.26908565241560395
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.7000000000000001,3,150,0.015480702447552144,-0.2691303970508001
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.4,2,200,0.03603292566144198,-0.2693942589261377
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.1,3,100,0.03308809567272853,-0.26977766260658986
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.1,0.4,1,200,0.021150599312862377,-0.27140490521159655
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.1,3,150,0.05286063114665055,-0.2714544186162439
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.7000000000000001,4,150,0.03700672581598075,-0.27209420776904586
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,relu,0.01,0.4,5,200,0.04564418157725594,-0.2722204774606726
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.7000000000000001,4,150,0.023556283856647445,-0.2726871915813204
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.4,3,100,0.003241865824917627,-0.2771130824888247
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.01,0.7000000000000001,2,150,0.035165399810240715,-0.2772830138781026
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.1,3,200,0.02220445618774232,-0.2800375290451591
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.4,5,150,0.029928403634509257,-0.2805104598831621
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.4,4,150,0.04609244080485243,-0.281387410782856
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.4,4,200,0.058467422321496855,-0.2816487123191863
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.7000000000000001,3,100,0.057278046224422986,-0.28168175630709014
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.7000000000000001,2,100,0.025156236698834353,-0.28265173250792863
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.7000000000000001,2,150,0.04489370662417454,-0.28292938638361276
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.01,0.4,1,150,0.04083833010903015,-0.2832694196575628
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.1,4,200,0.014743937841184577,-0.2833267778161845
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.1,2,200,0.021733514875212422,-0.28364898689017576
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,relu,0.01,0.1,4,200,0.028741382422393658,-0.28459092067874053
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.4,3,200,0.022859378377694427,-0.2850123559006857
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.1,2,100,0.06703138734679248,-0.2865357769790775
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.7000000000000001,1,150,0.02168369770253753,-0.28709261019740834
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.1,1,200,0.05253848368780184,-0.28904305812822567
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.4,5,150,0.05066427510928229,-0.2900235917306562
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.4,2,100,0.01885047874968823,-0.2911659946653195
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.1,5,200,0.03616016580186242,-0.29207261831609393
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.4,1,200,0.024340662863432255,-0.29231666883691976
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.4,1,150,0.03298917717212889,-0.29277153943545525
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.4,3,150,0.018169492944145833,-0.29310838255381794
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.7000000000000001,2,150,0.026497331201722204,-0.2953118892095838
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.7000000000000001,5,150,0.04127809822899855,-0.2969056647425273
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.7000000000000001,4,100,0.030900514432196168,-0.29817189205165046
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.01,0.4,2,200,0.06558421618463264,-0.29852342123781994
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.01,0.7000000000000001,2,200,0.0464078443105434,-0.29859565322182346
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.01,0.1,2,200,0.04212758962450188,-0.3011813673824729
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.1,0.4,2,150,0.024435079051707404,-0.3018827238868343
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.001,0.7000000000000001,1,150,0.02350580439430711,-0.30283702724961814
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.01,0.7000000000000001,1,150,0.0725085922151934,-0.302917352042199
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.01,0.1,1,150,0.021282676624754894,-0.3033918893080778
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.1,5,150,0.03736880919057247,-0.30385569963362413
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.7000000000000001,2,200,0.05023734547253931,-0.3051963318992763
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.1,4,100,0.036777949285660194,-0.30778096592853776
