estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.7000000000000001,1,200,0.03316581544872551,-0.19476355737035841
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.1,2,200,0.027381269048968006,-0.19717314285261933
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.7000000000000001,2,200,0.033979165960815204,-0.2015277152456115
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.7000000000000001,1,150,0.02436697117850315,-0.20181858031766758
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.4,1,200,0.025899848885865415,-0.20351019087156277
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.4,4,200,0.01077214761829682,-0.20364318563691752
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.7000000000000001,2,200,0.019499605017748785,-0.2045398251059556
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.4,3,200,0.03654047669866684,-0.20662301853883064
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.4,2,200,0.024256147907458964,-0.20696788399833707
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.1,1,200,0.016766391549949,-0.20733768750364104
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.1,4,200,0.022848314026805493,-0.20766498498078725
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.7000000000000001,3,200,0.031853972901478254,-0.20938472221230128
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.7000000000000001,2,150,0.021543540351426308,-0.2094610031540371
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.1,1,150,0.02629238500603845,-0.2099716305941391
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.4,2,200,0.017245932787318594,-0.2107595833963882
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.7000000000000001,3,200,0.03267933350744239,-0.21086565472754382
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.7000000000000001,1,100,0.025585076044691252,-0.21230545471407866
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.1,0.1,2,200,0.020044633910378258,-0.2123700532492874
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.7000000000000001,5,200,0.03025140161357661,-0.21243775036573534
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.7000000000000001,2,200,0.03842841483436695,-0.21266229374464685
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.1,2,200,0.026063183881310868,-0.2129057969058426
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.4,1,150,0.01330581491252586,-0.21400320687347008
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.4,2,150,0.012547874236281306,-0.21571394994797957
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.4,1,100,0.021656228829849754,-0.21757290433520377
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.7000000000000001,2,150,0.013644102699470162,-0.21941364793655618
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.001,0.4,3,200,0.01829903099115656,-0.21943743522009856
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.7000000000000001,1,200,0.041965148903783014,-0.2196900354089225
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.001,0.7000000000000001,1,200,0.025624819352192633,-0.21989925742744065
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,tanh,0.01,0.4,2,150,0.016649157233497705,-0.22002944478809114
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x000002E01DE48400>,sigmoid,0.01,0.1,3,200,0.03758543080793896,-0.22017303784901893
