estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.7000000000000001,2,100,0.02427027872803733,-0.2291554159714871
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.1,1,50,0.019991115977273013,-0.23105051357642473
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.4,2,100,0.02517958586397296,-0.231216662596866
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.1,3,150,0.025282366338092825,-0.23126988468779167
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.01,0.7000000000000001,1,50,0.010743962978369666,-0.2315809888480753
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.01,0.7000000000000001,2,100,0.019057141456361917,-0.2328971872504839
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.1,3,200,0.02691113305006278,-0.23360935447780784
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.1,0.1,2,100,0.017516394042975857,-0.23385426461521175
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.1,0.1,1,50,0.025121638736959336,-0.23414373420055984
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.7000000000000001,3,150,0.02198337748615814,-0.234942090838528
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.1,0.4,1,50,0.028300149417340482,-0.23569568394442872
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.1,0.4,1,100,0.01548642059882764,-0.23667375028826268
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.1,5,150,0.025903590615772486,-0.23703761155769273
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.01,0.7000000000000001,1,100,0.01679297927399508,-0.2371036410130145
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.01,0.4,2,100,0.026114996267317055,-0.2385156874753367
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.1,0.1,1,150,0.009090333573058003,-0.23887813139895214
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.001,0.4,5,150,0.03136573227855894,-0.23899014693637463
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.1,0.1,1,100,0.02631207217834306,-0.23965494595678888
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.1,2,100,0.0428491717746155,-0.23983912175617936
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.1,0.7000000000000001,1,50,0.03299254459388408,-0.24032325798877274
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.4,3,150,0.03845618481291561,-0.24037267511723068
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.4,2,150,0.02365331565634785,-0.24040629355335544
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,tanh,0.01,0.4,4,100,0.021274126670325362,-0.24046271270423664
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9C3243A0>,sigmoid,0.1,0.7000000000000001,1,100,0.012171190104170133,-0.2413076768896839
