estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"SVC(C=100, probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.013568144106127458,-0.23764264138105584
"SVC(C=100, probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.017644153176345358,-0.23831971607837588
"SVC(C=100, probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.00865633028724483,-0.2386933919315512
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.001,,,,0.02184730258733501,-0.24560053243783248
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.5,,,0.02334518305519809,-0.2489246827872785
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.6,,,0.023259426881240722,-0.24892863103995883
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.7000000000000001,,,0.023232363624416805,-0.2491541013524468
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.4,,,0.023561547460078602,-0.24924791911611582
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.8,,,0.023258711549664638,-0.2495258955223119
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.30000000000000004,,,0.023884089240640186,-0.2499519377838283
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.01,0.1,,,0.023244647767564363,-0.25085093783857393
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.01,,,,0.02708883147151401,-0.2510214287077801
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.2,,,0.024289945037174847,-0.25106788845324246
"SVC(C=100, probability=True, random_state=0)",,,,,,,1.0,,scale,rbf,0.012647630207900126,-0.25206422348551116
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.1,,,0.024728029431552525,-0.2524732285140109
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.8,,,0.024829982562859038,-0.2527762560619772
