estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"SVC(C=100, probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.013568144106124738,-0.23764264138105534
"SVC(C=100, probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.017644153176345365,-0.23831971607838354
"SVC(C=100, probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.00865633028724367,-0.2386933919315513
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.001,,,,0.021847302587340623,-0.24560053243784116
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.5,,,0.023345183055196863,-0.24892468278728008
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.6,,,0.023259426881239557,-0.24892863103996044
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.7000000000000001,,,0.023232363624416153,-0.24915410135244792
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.4,,,0.023561547460077523,-0.24924791911611727
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.8,,,0.023258711549664274,-0.24952589552231325
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.30000000000000004,,,0.023884089240638135,-0.24995193778383007
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.01,0.1,,,0.023244647767564783,-0.25085093783857537
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.01,,,,0.02708883147151897,-0.2510214287078185
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.2,,,0.0242899450371727,-0.25106788845324457
"SVC(C=100, probability=True, random_state=0)",,,,,,,1.0,,scale,rbf,0.012647630207901802,-0.2520642234855121
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.1,,,0.02472802943155,-0.2524732285140132
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.8,,,0.024829982562856425,-0.2527762560619796
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.7000000000000001,,,0.024879667218556393,-0.25293825327122943
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.6,,,0.02493428843001751,-0.2531065198009701
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.5,,,0.02499088231702035,-0.2532794319431112
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.4,,,0.025046790271483654,-0.2534560318404721
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.30000000000000004,,,0.02510175720264214,-0.2536322783360911
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.2,,,0.025152937208023002,-0.25380697404706726
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.1,,,0.025203705273070687,-0.2539829580612559
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.8,,,0.025215384846479866,-0.25401811643859784
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.7000000000000001,,,0.025220452134120788,-0.25403570874022763
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.6,,,0.02522553654921086,-0.25405332527233815
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.5,,,0.025230645546092945,-0.25407096475972857
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.4,,,0.025235739336284275,-0.25408861996549154
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.30000000000000004,,,0.025240800339050188,-0.2541062673666826
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.2,,,0.025245835931492443,-0.2541239114159855
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.1,,,0.02525088818374885,-0.25414157922944064
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.8,,,0.025252042392405725,-0.25414510166601567
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.7000000000000001,,,0.025252548992170765,-0.2541468708602781
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.6,,,0.02525305583888843,-0.2541486403171398
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.5,,,0.025253562990624794,-0.2541504102510716
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.4,,,0.0252540704373268,-0.2541521803598906
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.30000000000000004,,,0.025254578231477778,-0.2541539507694334
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.2,,,0.025255086296803994,-0.25415572137412734
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.1,,,0.025255594644561185,-0.254157492244683
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.8,,,0.02525571053959471,-0.25415784495854693
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.7000000000000001,,,0.02525576137581575,-0.2541580220497023
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.6,,,0.025255812216179774,-0.2541581991425736
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.5,,,0.025255863060526226,-0.25415837623748916
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.4,,,0.02525591390618703,-0.2541585533328806
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.30000000000000004,,,0.02525596475209717,-0.2541587304279712
