estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.1,,,0.0348036377339574,-0.2513009922490964
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.2,,,0.03480363229186685,-0.25130100734933963
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.30000000000000004,,,0.034803626849600894,-0.251301022450155
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.4,,,0.03480362140731879,-0.2513010375510476
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.5,,,0.03480361596559429,-0.25130105265177394
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.6,,,0.03480361052392659,-0.25130106775369443
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.7000000000000001,,,0.03480360508270484,-0.2513010828558972
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.8,,,0.03480359964138055,-0.25130109795693834
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.1,,,0.034803574451713705,-0.2513011446727775
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.2,,,0.03480352003958024,-0.2513012957134219
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.30000000000000004,,,0.03480346563783433,-0.2513014467799624
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.4,,,0.034803411246158156,-0.25130159785992484
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.5,,,0.03480335686252344,-0.25130174896359336
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.6,,,0.0348033024903198,-0.2513019000823857
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.7000000000000001,,,0.03480324813326452,-0.25130205122843097
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.8,,,0.034803193783610915,-0.2513022023863158
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,10.0,0.1,,,0.034802942042868656,-0.25130266993083933
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,10.0,0.2,,,0.03480239915357264,-0.2513041832502748
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,10.0,0.30000000000000004,,,0.03480185701281128,-0.2513056990452661
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,10.0,0.4,,,0.034801315812392396,-0.25130721732165706
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,10.0,0.5,,,0.03480077554230308,-0.2513087377695028
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,10.0,0.6,,,0.034800235881368984,-0.2513102605291524
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,10.0,0.7000000000000001,,,0.03479969686442023,-0.2513117853333864
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,10.0,0.8,,,0.03479915827367245,-0.25131331272143775
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1.0,0.1,,,0.03479665098876827,-0.25131803186791063
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1.0,0.2,,,0.03479130616144054,-0.2513334938526163
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1.0,0.30000000000000004,,,0.034786000686658956,-0.25134919552363516
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1.0,0.4,,,0.03478083019636699,-0.2513652804338253
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1.0,0.5,,,0.03477580690284287,-0.25138179498084556
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1.0,0.6,,,0.03477089203432197,-0.2513986412545694
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1.0,0.7000000000000001,,,0.0347660785430083,-0.251415656726489
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1.0,0.8,,,0.034761350848598174,-0.25143300212805736
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.1,0.1,,,0.034737651143468336,-0.25148525163940216
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.1,0.2,,,0.03469873671522785,-0.25166049726439116
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.1,0.30000000000000004,,,0.03466159642405644,-0.2518604856926952
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.1,0.4,,,0.03462520259564984,-0.25208781800831825
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.1,0.5,,,0.03457992967531651,-0.25230820862875947
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.1,0.6,,,0.03453910860215947,-0.25252457438847364
