estimator,estimator__act,estimator__learning_rate,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.014921476328846675,1,82,0.006944472132587583,-0.22802039275471142
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.019255763097973767,1,95,0.027897010345622444,-0.23308446992989812
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.01170070498741568,1,180,0.017231043453904554,-0.23642930548423977
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.011398829585754132,2,121,0.03428561684862691,-0.2371779929811142
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.006853411385339631,1,74,0.030779207680524986,-0.23860810162875878
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.014662952026220309,2,152,0.029723057590584336,-0.2403152842128682
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.006977244239903821,1,85,0.011182175495320421,-0.2407951267138376
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.011746670464650092,3,159,0.023246592402105092,-0.24260690909143848
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.004758911989277379,1,133,0.02393503890345128,-0.24411492289079254
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.011644857351208356,2,130,0.02136102274925791,-0.24411970857298296
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.016570145479570152,2,104,0.030721015004752505,-0.24457153066774773
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0010402487464129355,3,108,0.028503710374582967,-0.2449319307136248
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.027872880805157887,1,53,0.01805546052202503,-0.24689256943870344
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.005019010261222544,1,195,0.03983285324389519,-0.24770682511454475
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.028695332265469255,1,154,0.014997447603231174,-0.24894905441993384
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.012523491282657935,2,69,0.02356809522862859,-0.24941217712320662
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.0173579230015711,2,132,0.026832218392900273,-0.24943890385748738
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.0037229830422149295,1,166,0.026778189314798983,-0.249746373763909
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0014645344235044615,4,110,0.06334588813298571,-0.25071647252560403
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.010568962174998224,1,86,0.01722355304004375,-0.2523164796343538
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0016718256437176816,1,147,0.022172256787279312,-0.2526994032341996
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.002459747619107312,1,82,0.03652826585151626,-0.25387735373982456
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.02835554724661133,2,148,0.017249729447133898,-0.25438589660852134
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0009646564449915418,2,158,0.039327493128983156,-0.25759713427496156
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.0035377333368944797,1,94,0.0222155944759056,-0.25790372516387877
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.010408244917504098,1,82,0.027093852381323866,-0.25881204193978696
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.00330517506080283,2,134,0.020646524320713133,-0.2594748872410803
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0017188383973282795,2,111,0.039224514953908704,-0.25963298489238396
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.001399808858990667,4,133,0.04390244621572928,-0.2596748661134314
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.01756629323026392,1,129,0.03412913919089293,-0.2598006366086894
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.002479300558627778,3,184,0.0407063661018246,-0.260011096549602
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.016987589011181862,2,195,0.031170414329936728,-0.26020154307790283
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.008477510237796323,1,95,0.03407297917322111,-0.2608788966629702
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0016851038255313792,2,148,0.028195369508525206,-0.26089528894602987
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.015442867297150982,2,45,0.0357306994239661,-0.2647312246230684
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.021277044667298243,2,169,0.041733538069159276,-0.2649515058196774
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0022505863330860355,1,89,0.051642737104848235,-0.26589996405728783
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.00038714164899221687,4,182,0.02382199891367953,-0.2666238023788795
