estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"RandomForestClassifier(criterion='entropy', n_estimators=1000, random_state=0)",entropy,,,,,1000.0,,,,,0.013516614975438218,-0.302894933157249
"RandomForestClassifier(criterion='entropy', n_estimators=1000, random_state=0)",gini,,,,,1000.0,,,,,0.0149577683110773,-0.31979190086398945
"RandomForestClassifier(criterion='entropy', n_estimators=1000, random_state=0)",entropy,,,,,100.0,,,,,0.07176098161081791,-0.34659932389903136
"RandomForestClassifier(criterion='entropy', n_estimators=1000, random_state=0)",gini,,,,,100.0,,,,,0.06909385470498684,-0.3587184361045175
"SVC(probability=True, random_state=0)",,,,,,,10.0,,auto,rbf,0.014090532220900244,-0.36215029752581535
"SVC(probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.01409053222090014,-0.36215029752581557
"SVC(probability=True, random_state=0)",,,,,,,1.0,,scale,rbf,0.019798537656132518,-0.37881139724118323
"SVC(probability=True, random_state=0)",,,,,,,1.0,,auto,rbf,0.019798537656132542,-0.3788113972411833
"SVC(probability=True, random_state=0)",,,,,,,100.0,,auto,rbf,0.011558873383492492,-0.37959208976155767
"SVC(probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.011558873383492053,-0.37959208976155806
"LogisticRegression(random_state=0, solver='newton-cg')",,,,,,,0.1,,,,0.07893660922871813,-0.3819471783970787
"LogisticRegression(random_state=0, solver='newton-cg')",,,,,,,0.01,,,,0.05329860403530719,-0.3837434515416816
"SVC(probability=True, random_state=0)",,,,,,,1000.0,,auto,rbf,0.010552610925452432,-0.3841598634806696
"SVC(probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.01055261092545218,-0.3841598634806705
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.01,,,,0.015569248678387207,-0.3856444661336439
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.001,,,,0.009481438022048101,-0.3870073204161046
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.2,,,0.03935115847246592,-0.3937089068855075
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.8,,,0.03939402693523845,-0.3938325907171494
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.7000000000000001,,,0.039405539624204004,-0.3938856746914206
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.30000000000000004,,,0.039428531002653186,-0.3939163361607537
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.1,,,0.03937690469207195,-0.393917263174871
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.6,,,0.039417329153088494,-0.3939417304384862
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.5,,,0.03943774131786611,-0.3940070897116288
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.4,,,0.03946135192554277,-0.39407879744137453
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.30000000000000004,,,0.03948343195993332,-0.3941527039257546
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.2,,,0.039505233751082086,-0.39422853769287824
