estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.1,,,0.03480363773395776,-0.25130099224909563
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.2,,,0.034803632291866955,-0.2513010073493391
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.30000000000000004,,,0.03480362684960069,-0.25130102245015484
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.4,,,0.03480362140731902,-0.25130103755104716
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.5,,,0.03480361596559458,-0.2513010526517736
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.6,,,0.03480361052392664,-0.2513010677536941
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.7000000000000001,,,0.03480360508270497,-0.2513010828558968
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.8,,,0.0348035996413805,-0.2513010979569377
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.1,,,0.03480357445171376,-0.2513011446727768
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.2,,,0.03480352003958015,-0.2513012957134218
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.30000000000000004,,,0.034803465637834465,-0.2513014467799618
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.4,,,0.034803411246158295,-0.25130159785992445
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.5,,,0.03480335686252365,-0.2513017489635931
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.6,,,0.034803302490319474,-0.2513019000823853
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.7000000000000001,,,0.03480324813326481,-0.2513020512284307
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.8,,,0.034803193783610825,-0.25130220238631534
"LogisticRegression(C=1000, l1_ratio=0.1, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,10.0,0.1,,,0.03480294204286883,-0.2513026699308394
