estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"SVC(C=1000, probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.025240835939376025,-0.23906144833788534
"SVC(C=1000, probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.011611220941238301,-0.24131950169385752
"SVC(C=1000, probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.003635354747058693,-0.24328115844728396
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.01,,,,0.020006176901503848,-0.2492186742515038
"SVC(C=1000, probability=True, random_state=0)",,,,,,,1.0,,scale,rbf,0.006259790255282396,-0.2506998207616754
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.001,,,,0.012648953543468474,-0.255426922410534
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,1000.0,,,,0.017450223612503295,-0.25570816174447086
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,1.0,,,,0.017450223612503295,-0.25570816174447086
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,10.0,,,,0.017450223612503295,-0.25570816174447086
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,100.0,,,,0.017450223612503295,-0.25570816174447086
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.1,,,,0.020097729502610268,-0.2585764111965756
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.01,0.1,,,0.02516922029678495,-0.2656710893161976
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.01,0.2,,,0.02566855221248147,-0.26572063981633665
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.8,,,0.02523870802088665,-0.26584075292140547
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.7000000000000001,,,0.02522536331426726,-0.2658851150056834
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.6,,,0.025209438745100708,-0.2659262713444027
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.5,,,0.025199315775794682,-0.26597626703937477
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.4,,,0.025193425699760245,-0.26604320964642353
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.30000000000000004,,,0.025196850751696788,-0.26612561557652337
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.2,,,0.025201692576089042,-0.26622667601904726
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.01,0.30000000000000004,,,0.026331821366878234,-0.26630633998775344
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.1,,,0.025206586457250036,-0.26635253426251765
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.8,,,0.025219098068555466,-0.2663949603523312
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.7000000000000001,,,0.025219789052872813,-0.26640951802624163
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.6,,,0.025220548996631946,-0.26642424512145524
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.5,,,0.025221273084833105,-0.2664393638601352
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.4,,,0.025221919412859076,-0.2664549428791966
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.30000000000000004,,,0.025222599319076174,-0.2664707773861126
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.2,,,0.025223376345280983,-0.2664868363399169
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.1,,,0.02522420697432212,-0.2665031526368508
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.8,,,0.02522549670189422,-0.2665079230196047
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.7000000000000001,,,0.025225580459719853,-0.26650957768143024
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.6,,,0.02522566438037469,-0.26651123511488173
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.5,,,0.02522574844749715,-0.26651289525592703
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.4,,,0.02522583271758501,-0.26651455844082306
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.30000000000000004,,,0.02522591677587545,-0.2665162251054819
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.2,,,0.02522600114809737,-0.2665178943664591
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.1,,,0.025226085660850148,-0.26651956663083154
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.8,,,0.025226214857669915,-0.26652004923248984
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.7000000000000001,,,0.02522622331063779,-0.26652021670898435
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.6,,,0.025226231766360598,-0.2665203842127672
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.5,,,0.025226240224147666,-0.26652055174246264
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.4,,,0.02522624868437686,-0.266520719300888
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.30000000000000004,,,0.025226257150625087,-0.266520886878892
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.2,,,0.025226265614382903,-0.26652105449275815
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.1,,,0.025226274079260896,-0.26652122213656554
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.8,,,0.02522628700192036,-0.2665212704512676
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.7000000000000001,,,0.025226287848232654,-0.26652128721769675
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.6,,,0.025226288695326265,-0.2665213039847539
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.5,,,0.02522628954152896,-0.26652132075213836
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.4,,,0.025226290387953553,-0.26652133751986723
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.30000000000000004,,,0.025226291234665042,-0.2665213542876587
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.2,,,0.025226292081346437,-0.26652137105590973
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.1,,,0.025226292927660772,-0.26652138782484747
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.01,0.4,,,0.0269044701806167,-0.267124646053891
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.01,0.5,,,0.02729419838599414,-0.26832870308698803
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.01,0.6,,,0.027364548909166172,-0.26966630158944144
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.01,0.7000000000000001,,,0.027574114992292682,-0.2714993066717347
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.01,0.8,,,0.028018865204344847,-0.2737113693662
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.001,0.1,,,0.027411544261346944,-0.27986234521342845
"LogisticRegression(random_state=0, solver='newton-cg')",,,,,,,0.001,,,,0.03507618420812091,-0.295306078395148
RandomForestClassifier(random_state=0),entropy,,,,,1000.0,,,,,0.008801489149820933,-0.2959851860607069
RandomForestClassifier(random_state=0),gini,,,,,1000.0,,,,,0.014448034473997513,-0.30334208092303666
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.001,0.2,,,0.02707488536327124,-0.30598431698191136
"SVC(C=1000, probability=True, random_state=0)",,,,,,,0.1,,scale,rbf,0.01852560316115221,-0.31835600289193455
"SVC(C=1000, probability=True, random_state=0)",,,,,,,100.0,,scale,poly,0.05481415530738582,-0.3257559638278424
"SVC(C=1000, probability=True, random_state=0)",,,,,,,1000.0,,scale,poly,0.05435375418263924,-0.32951991923478324
RandomForestClassifier(random_state=0),entropy,,,,,100.0,,,,,0.060473911124707735,-0.33119322280209657
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.001,0.30000000000000004,,,0.029370918489877898,-0.3330574985769588
"SVC(C=1000, probability=True, random_state=0)",,,,,,,0.001,,auto,poly,0.05887766748454357,-0.33635752844952765
"SVC(C=1000, probability=True, random_state=0)",,,,,,,10.0,,auto,poly,0.05887766748454357,-0.33635752844952765
"SVC(C=1000, probability=True, random_state=0)",,,,,,,0.1,,auto,poly,0.05887766748454357,-0.33635752844952765
"SVC(C=1000, probability=True, random_state=0)",,,,,,,1.0,,auto,poly,0.05887766748454357,-0.33635752844952765
"SVC(C=1000, probability=True, random_state=0)",,,,,,,1000.0,,auto,poly,0.05887766748454357,-0.33635752844952765
"SVC(C=1000, probability=True, random_state=0)",,,,,,,0.01,,auto,poly,0.05887766748454357,-0.33635752844952765
"SVC(C=1000, probability=True, random_state=0)",,,,,,,100.0,,auto,poly,0.05887766748454357,-0.33635752844952765
"SVC(C=1000, probability=True, random_state=0)",,,,,,,10.0,,scale,poly,0.05509866863730928,-0.35001191576659413
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.001,0.4,,,0.03248524845770861,-0.3572220876206452
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.001,0.5,,,0.036011353551634956,-0.38093311902071975
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.001,0.6,,,0.03906431643217994,-0.4037030372390906
RandomForestClassifier(random_state=0),gini,,,,,100.0,,,,,0.121062206334826,-0.4145203637246523
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.001,0.7000000000000001,,,0.04006669827800149,-0.4246819558696094
"SVC(C=1000, probability=True, random_state=0)",,,,,,,1.0,,scale,sigmoid,0.018930563122840065,-0.43347491473219163
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.001,0.8,,,0.04086966103754348,-0.44448605838348176
"LogisticRegression(random_state=0, solver='newton-cg')",,,,,,,0.01,,,,0.11311628552529897,-0.4709038821973301
