estimator__n_neurons,estimator__n_hidden,estimator__learning_rate,estimator__act,estimator,std,neg_log_loss
54,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.026588984192616245,-0.2214312477527312
47,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.022723950165277833,-0.2217468188224877
66,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.015768955208432318,-0.22345154261667155
70,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.028945375524141417,-0.22964723912052165
89,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.02001433697945312,-0.23347842895285095
98,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.021365491965873357,-0.23466559274787716
74,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.027559936570826882,-0.23584694667809386
73,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.013100573194414416,-0.2359633293563464
80,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.012089169574510908,-0.23888659366240142
99,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.017951191769210416,-0.23960476107123413
81,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.02519402003227414,-0.23975735475647056
62,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.03228046083000908,-0.24053883905946627
51,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.023356644686618282,-0.24789909327134732
83,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.020027800705944843,-0.24927696228130164
68,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.028404842644972256,-0.25175981586429197
72,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.021558361481955186,-0.2518532855832264
50,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.022762795955738442,-0.2520734210364667
44,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.03390975504480116,-0.25476992707912055
75,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.027548128424105374,-0.2562634813442831
42,1,0.015,sigmoid,<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDAF2220>,0.03116788499972732,-0.26449252806843704
