estimator,filter__degree,filter__window,std,neg_log_loss
GaussianNB(),3,9,0.3543898033812826,-2.0035079829185776
GaussianNB(),2,9,0.3543197637801474,-2.0035941336501866
GaussianNB(),3,7,0.35405506383455065,-2.0125923997921484
GaussianNB(),2,7,0.3540363334606466,-2.012624972418888
GaussianNB(),3,11,0.35127424680426733,-2.0189572683156634
GaussianNB(),2,11,0.3511479510939452,-2.019094113947878
GaussianNB(),6,11,0.34537636846706016,-2.019808984317118
GaussianNB(),7,11,0.3453796378940641,-2.0198385331824285
GaussianNB(),2,5,0.34691998447352485,-2.019997800936847
GaussianNB(),3,5,0.34690811670222405,-2.0200011594623084
GaussianNB(),4,9,0.3463871641128671,-2.020075592808355
GaussianNB(),5,9,0.34638658911195996,-2.0200937919365023
GaussianNB(),4,11,0.3489509757997606,-2.0207384398250063
GaussianNB(),5,11,0.34894028774461044,-2.0207646141411413
GaussianNB(),8,11,0.3663518919830667,-2.0369673275192848
GaussianNB(),9,11,0.3663528040464091,-2.036972477388987
GaussianNB(),6,9,0.36643970697708494,-2.036979802537164
GaussianNB(),7,9,0.3664370369949577,-2.036983382150184
GaussianNB(),5,7,0.36671906289468387,-2.0370538802359137
GaussianNB(),4,5,0.3660872855774635,-2.037057282664103
GaussianNB(),2,3,0.36608728557746295,-2.0370572826641054
GaussianNB(),6,7,0.3660872855774593,-2.037057282664107
GaussianNB(),8,9,0.3660872855774612,-2.0370572826641107
GaussianNB(),10,11,0.36608728557746273,-2.0370572826641227
GaussianNB(),4,7,0.36670493172927,-2.0370702405689443
