estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.4,3,200,0.05336215447845863,-0.3058924143937692
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.4,4,100,0.054926464426092655,-0.3085787655053811
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.4,5,200,0.057026784553922974,-0.31773266795542493
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.1,5,100,0.040067097213894044,-0.32189099337212823
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.1,3,150,0.0245440046331541,-0.33316170053978866
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.1,5,200,0.07095638513993838,-0.34634346783688874
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.1,3,200,0.11386873635643142,-0.36282900568541615
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.1,2,100,0.052265701233942086,-0.3641622831178471
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.4,4,200,0.1778935755824809,-0.3742772262356588
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.7000000000000001,5,100,0.11331893195644147,-0.37807810669663866
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.4,2,100,0.06517585264164186,-0.3807872107715099
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.1,5,50,0.1658242213475775,-0.3831541701168964
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.1,4,100,0.14504730104835098,-0.3896195102177616
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.1,5,150,0.21920298448968403,-0.39826193386906983
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.7000000000000001,3,150,0.09515330555306027,-0.40681396735829856
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.7000000000000001,4,150,0.16320248625954437,-0.41082120624829244
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.7000000000000001,5,200,0.041142872322008875,-0.4115661993073979
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.4,4,150,0.14571094805202517,-0.41460611411208753
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,sigmoid,0.001,0.1,1,200,0.03809535855156906,-0.41509022100824366
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,sigmoid,0.001,0.4,1,200,0.039240237507042995,-0.41832958729463665
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.4,3,100,0.16004033597579986,-0.4231610706724732
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.4,5,100,0.10613032446150786,-0.43029289940313714
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.4,5,200,0.04719623988241702,-0.4314651659930666
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.4,4,50,0.14192186276821697,-0.4396975380579626
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.4,2,150,0.09831690845613905,-0.44190297937732065
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.4,4,200,0.03278151931373239,-0.4443054623094678
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.7000000000000001,3,200,0.05159758938116923,-0.4484703410897633
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.1,2,200,0.07476933810496475,-0.4488254548919054
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.7000000000000001,5,50,0.09294998863683712,-0.44891765179166593
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,sigmoid,0.01,0.7000000000000001,1,200,0.022984942170777744,-0.4496613850244608
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.7000000000000001,4,150,0.016336902351405492,-0.4514025985045512
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.7000000000000001,1,200,0.07724608424971545,-0.456398359337501
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.7000000000000001,2,200,0.10487168113006767,-0.4566131994861704
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.4,1,200,0.08118365556090207,-0.46495670077806583
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.7000000000000001,4,200,0.06054189922481248,-0.46512730214313025
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.1,4,200,0.04253021364136228,-0.46908709966875267
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,sigmoid,0.001,0.1,1,150,0.051478819047512635,-0.47314787439810757
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.7000000000000001,5,200,0.14987522606884576,-0.473377420818762
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.4,3,200,0.14377687379040527,-0.47372590164383127
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.1,3,200,0.05608061035734692,-0.47447947016753805
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.1,1,200,0.03508095106800261,-0.47457985448195383
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.7000000000000001,2,150,0.04216007487559859,-0.4819539390792232
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,sigmoid,0.001,0.7000000000000001,1,200,0.08352241658883905,-0.48870182146020386
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.4,1,100,0.059705314214660146,-0.4935364386783907
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.4,2,200,0.12403380298780507,-0.5085224648210993
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.7000000000000001,1,150,0.024220401375163514,-0.5130411214498231
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,sigmoid,0.001,0.7000000000000001,1,150,0.11209217720915883,-0.5131403460434611
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,relu,0.001,0.1,4,50,0.2584840934294061,-0.5162680435545385
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.4,5,150,0.08623509379554092,-0.5166002278796903
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.1,5,200,0.17444212899285053,-0.5190287638509891
