estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.4,5,200,0.024352692720339145,-0.21468229268928093
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.7000000000000001,2,200,0.028056181849923364,-0.2205179763735665
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.4,3,200,0.009432862073007572,-0.22174238660423312
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.4,4,150,0.023137565197546724,-0.22430896778204532
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.7000000000000001,1,200,0.021892759980634204,-0.22676730535305906
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,sigmoid,0.01,0.1,1,200,0.029013190103117197,-0.2296232741407568
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.7000000000000001,3,150,0.03523409215575513,-0.23078501452334466
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,sigmoid,0.01,0.4,1,200,0.020316960061468187,-0.23154560892298096
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.1,3,200,0.026518511365990677,-0.23171232805213196
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.4,4,200,0.023745580843372156,-0.2328298698945322
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.4,2,200,0.012912598384518702,-0.23534377641705237
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.7000000000000001,2,150,0.034581421459722955,-0.2359859514622894
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A99EF2DC0>,tanh,0.001,0.1,4,200,0.019484342786303413,-0.23761498938817496
