estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.7000000000000001,2,200,0.019886706865579713,-0.22050790290898442
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.001,0.7000000000000001,3,200,0.03510319065373623,-0.2261594822611099
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.1,2,200,0.03326095699373841,-0.22798357496187638
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.4,3,200,0.017884367647669878,-0.23021638565229838
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.7000000000000001,3,200,0.024934537110964276,-0.2302376549661771
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.1,3,200,0.03120452251296781,-0.23510310544189106
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.4,2,200,0.024544576272288347,-0.23579551710015545
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.001,0.7000000000000001,4,200,0.03229274624653918,-0.24230996608790065
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.4,4,200,0.029753767959424495,-0.24332641151503845
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.4,2,150,0.011915575339638636,-0.2468873897533498
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.4,5,200,0.033126897272859245,-0.24837951754756862
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,sigmoid,0.01,0.7000000000000001,1,200,0.038840426043831096,-0.2497667506554967
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.001,0.4,5,200,0.029746686362187445,-0.2507887980719866
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.001,0.4,4,200,0.018722933434739807,-0.251821565108653
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.4,5,150,0.01864988411262867,-0.2519339285649917
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.1,3,150,0.012999801336776643,-0.25325182290253906
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.001,0.7000000000000001,2,200,0.05242276700555603,-0.2553891026952744
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.001,0.4,2,200,0.02554473554001086,-0.25610059870328944
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,sigmoid,0.1,0.1,1,200,0.014641185493024698,-0.2577275402491775
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.1,2,150,0.026751035092895323,-0.2587804126342659
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.1,5,200,0.023994824323116552,-0.2609463217770275
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.1,1,200,0.02981539911299314,-0.2618329955381139
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.4,1,150,0.024345476726844076,-0.26415021059556804
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.1,4,150,0.0393270331650241,-0.26604496988283605
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.4,4,150,0.01732466605802907,-0.26653204690541904
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.7000000000000001,1,150,0.044220081516025016,-0.2667959977040032
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.001,0.7000000000000001,5,200,0.023952327197518324,-0.26778712855238174
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.4,1,200,0.03452292806809781,-0.27054158840821163
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,sigmoid,0.01,0.4,1,200,0.010912453006925714,-0.2707934294715466
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.001,0.4,3,200,0.01300736904396471,-0.27348013743837746
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,sigmoid,0.1,0.4,1,150,0.045709521439598465,-0.27351676344318904
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.001,0.1,5,150,0.024483653816495428,-0.2744212978563334
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.001,0.1,4,200,0.03814210938509383,-0.2748204637911278
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.7000000000000001,2,150,0.02294669083558226,-0.2749039739424281
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.001,0.7000000000000001,5,150,0.014820029307101926,-0.27506645197484436
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,tanh,0.01,0.4,3,100,0.0471739610100239,-0.2767591305082022
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,sigmoid,0.01,0.4,1,150,0.014556937019771734,-0.27721162865696936
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9DDB1130>,sigmoid,0.01,0.1,2,200,0.021500179099194466,-0.2776884423938147
