estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.4,1,200,0.01292767149364822,-0.19561957490264834
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.7000000000000001,2,200,0.030504374242058596,-0.19908856743407205
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.1,1,200,0.0275404454666738,-0.20039416803335147
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.4,1,200,0.03777825127099908,-0.20200325118441034
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.4,4,200,0.0411841132126902,-0.20423972434408696
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.7000000000000001,2,150,0.03819391935398049,-0.20445332222241408
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.1,1,150,0.017053504412483936,-0.20607607840851364
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.7000000000000001,2,100,0.02700215378009229,-0.20668591241465412
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.1,2,150,0.024452678771668263,-0.20858128461191955
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.1,3,150,0.023148018905738244,-0.2097119575355393
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.1,3,200,0.03608967558545925,-0.21062689559502334
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.7000000000000001,1,150,0.022591782521751258,-0.21157787805819267
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.7000000000000001,1,200,0.027197577768347584,-0.21163017906973033
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.4,3,200,0.03403987594472015,-0.2117679606007395
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.1,0.1,2,200,0.025310756419444146,-0.21208726276637682
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.4,2,150,0.031225763437770677,-0.21261562910401552
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.4,2,150,0.04252747597308679,-0.2127214153859632
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.7000000000000001,2,200,0.02188501126272347,-0.2134804866877776
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.4,2,200,0.04603613448639977,-0.2138172658453305
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.4,2,200,0.0249112314581866,-0.21391218474707624
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.7000000000000001,3,200,0.020885098275427606,-0.21405515559139207
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.1,2,200,0.018841433091418617,-0.21417415389728706
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.7000000000000001,4,200,0.022234750995297838,-0.2152853409771274
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.1,4,200,0.015056487507694177,-0.21600598490946668
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.4,2,100,0.02827324382741818,-0.21642981160546726
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.7000000000000001,1,100,0.029689625844200186,-0.21840536805075392
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.4,1,150,0.01744505626198694,-0.21868284135115024
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.4,3,150,0.013717489959305227,-0.21977205691104598
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.1,2,150,0.022368504451611315,-0.22006177572446597
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.1,4,200,0.04819792443916808,-0.22068871303436333
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.1,2,200,0.03158902593102007,-0.22120768231143897
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.7000000000000001,1,200,0.02704224589581585,-0.22290182035281927
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.7000000000000001,1,200,0.03760624310471013,-0.2231940827918352
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.1,4,150,0.02912996666878937,-0.22358949353000845
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.7000000000000001,2,200,0.03114570312464247,-0.22363368164164119
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.1,4,150,0.012457216903333995,-0.22363410108430962
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.7000000000000001,3,200,0.029507918946459728,-0.22370598188853566
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.001,0.7000000000000001,1,200,0.006441434157290123,-0.22377721623194038
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.7000000000000001,3,150,0.02393275254713965,-0.22421517589224024
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.4,1,100,0.039123599094902116,-0.22500333261675518
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.7000000000000001,5,150,0.030128942856818944,-0.22504666150063715
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.1,5,200,0.029667393765344954,-0.22508465899526583
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.1,2,100,0.032758167426873104,-0.22599731112012783
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.4,5,200,0.01679676178894343,-0.2263367694555429
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.1,1,200,0.025051512241057637,-0.22669182072242963
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.4,3,200,0.03050518472647128,-0.22734491488568226
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.4,1,200,0.014617168277850494,-0.22775140115775896
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.1,3,200,0.02326723657187229,-0.2285250780717124
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.1,5,150,0.009851130946443003,-0.22870172580959683
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.7000000000000001,3,200,0.009738866406811595,-0.22966622190044045
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.1,0.1,3,200,0.03374020359147061,-0.23014752286889703
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.4,2,200,0.032895796131163474,-0.230211910975406
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.1,0.1,1,100,0.02856182357167103,-0.23163256648682887
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.7000000000000001,5,200,0.02105429079321082,-0.23165166511363136
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.1,5,200,0.008947911191292455,-0.23227106726711055
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.4,5,200,0.02815440562300028,-0.23277219899245408
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.4,3,200,0.03224758087756856,-0.23288183498948886
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.7000000000000001,3,150,0.022532474019382798,-0.23290481268161276
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.4,4,200,0.017556693681818093,-0.234094844659154
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.4,2,150,0.020471009413677563,-0.2349798834208909
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.1,3,200,0.03368971239522635,-0.23589771363452752
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.4,4,150,0.02497898242062121,-0.2361881593405824
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.1,0.4,2,200,0.035381291310044465,-0.2375452764304811
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.001,0.4,5,150,0.009748579264355682,-0.23774777087649004
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.1,1,100,0.027448304863204844,-0.23825342729728122
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.4,4,150,0.028535758651508775,-0.23939604794701827
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,sigmoid,0.01,0.1,3,150,0.039012376098670296,-0.23952087536932415
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A8ADB4F10>,tanh,0.01,0.4,3,150,0.025129231619190808,-0.23987987772157332
