estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,sigmoid,0.01,0.1,2,200,0.018937885402754862,-0.22649724873398255
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.4,2,200,0.023409495616569576,-0.2291336387039676
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.7000000000000001,5,150,0.010521048768622074,-0.23210489353755176
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,sigmoid,0.01,0.4,1,150,0.024046928129729164,-0.23230674207462473
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.7000000000000001,3,200,0.03289489272729376,-0.2346155590062507
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.7000000000000001,1,200,0.025715608297675656,-0.2375686017940176
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,sigmoid,0.01,0.1,1,200,0.034830684685560505,-0.2384653095743994
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.4,3,200,0.01986209887406331,-0.23903683921230012
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.7000000000000001,4,200,0.04150509294646048,-0.23925070719931504
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.4,1,200,0.03055537528713905,-0.23929889669256896
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.1,5,150,0.025237233853673838,-0.23963541108636985
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.7000000000000001,2,200,0.013960484450561923,-0.240874649589242
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.1,2,200,0.010337242527760155,-0.24089172937329628
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,sigmoid,0.01,0.4,2,200,0.011504379448936264,-0.24163614578500434
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.4,5,150,0.026998567022423002,-0.24265928323299998
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,relu,0.001,0.4,3,100,0.030703447081964798,-0.24322821194617888
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.4,5,200,0.020294505671279117,-0.24365602594250815
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.1,3,200,0.02744099829107527,-0.2438530715561603
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.1,5,200,0.02428559627886023,-0.24392835182590908
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.4,3,150,0.01569027921302889,-0.24503354728375207
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.1,4,200,0.01610707852988402,-0.24554921325737952
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.4,2,150,0.019132809228572675,-0.24814633639479936
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,sigmoid,0.001,0.7000000000000001,1,200,0.020432061496580337,-0.24825872372830118
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,sigmoid,0.01,0.4,3,200,0.028836640334565365,-0.25035202260316797
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.7000000000000001,4,150,0.016446512591693947,-0.2505219170062998
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.1,4,150,0.0313202316367685,-0.25171599684632534
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,sigmoid,0.001,0.7000000000000001,1,150,0.017539097894460117,-0.25262095604803847
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,sigmoid,0.001,0.4,1,200,0.01308297771364091,-0.25371575259495943
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.1,1,200,0.02280221299051606,-0.2537764778577005
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.4,4,200,0.02467162085587326,-0.2547612856325693
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.7000000000000001,1,150,0.023592983576393577,-0.2549275170271411
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,sigmoid,0.01,0.7000000000000001,3,200,0.0226770072425642,-0.25498007613176277
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,relu,0.001,0.4,5,150,0.019394278035905585,-0.2550371187644672
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.7000000000000001,2,150,0.018235351887549104,-0.2569811644866581
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,sigmoid,0.01,0.1,2,150,0.021783285168735237,-0.25700575810461423
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.1,3,150,0.023993515847529213,-0.25728036225625234
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.7000000000000001,3,150,0.043779941270981726,-0.2575895558309228
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.1,2,150,0.029874930201169894,-0.2577918715506242
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,sigmoid,0.01,0.7000000000000001,1,200,0.027001828643247263,-0.25807363418512375
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,tanh,0.001,0.4,1,150,0.010753273989007642,-0.2586516751127674
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,sigmoid,0.01,0.7000000000000001,2,200,0.03937102489727735,-0.25872829039304784
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,sigmoid,0.001,0.7000000000000001,2,200,0.023480861124625066,-0.25878878321077103
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000021A9E28BDF0>,sigmoid,0.01,0.1,3,200,0.022798168123933798,-0.2597177378242647
