estimator,estimator__act,estimator__learning_rate,estimator__momentum,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.4,4,150,0.059189289137715456,-0.28201901486563796
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.1,5,150,0.08776810883892884,-0.3007867813348231
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.7000000000000001,3,200,0.03871299166306394,-0.30831446178937566
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.4,5,100,0.09182011634903255,-0.3110365130650906
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.1,5,200,0.03576451700871914,-0.32219970179087354
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.4,4,50,0.08599934719292436,-0.3247224888473101
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.1,4,200,0.06738887581464094,-0.36832948473970556
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.7000000000000001,4,150,0.1728989728172701,-0.3752357961432632
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.1,2,150,0.17393180725855925,-0.3808646856282433
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.4,5,50,0.09234078371771441,-0.3851903456725516
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.7000000000000001,2,100,0.050619674712718846,-0.3918624612139727
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.1,3,100,0.057362314024495244,-0.40169408139498497
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.1,2,100,0.05763024878637521,-0.4111899896082692
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.7000000000000001,4,200,0.07104153011531898,-0.41419419721279543
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.4,2,200,0.04877673606352247,-0.42844046834859384
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,sigmoid,0.001,0.4,1,200,0.0827551068918603,-0.43343716818509165
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.4,3,50,0.10150952334086691,-0.4336978646891682
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,sigmoid,0.001,0.7000000000000001,1,200,0.05440086680515105,-0.4397994212474522
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.1,2,200,0.056004326753799696,-0.44561915775523353
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.1,3,50,0.12786275332366517,-0.44565610985198134
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.7000000000000001,3,150,0.24230286531994105,-0.4494193220654944
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.1,3,200,0.0855360609443716,-0.45014963315870005
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.7000000000000001,5,200,0.03348201340496025,-0.4514183507319562
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.7000000000000001,3,200,0.0563851640880919,-0.4569366660461519
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.1,4,200,0.04997053262499483,-0.4639701858428635
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.4,5,200,0.022697340166959595,-0.47284658389201784
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.1,5,200,0.07609378715008142,-0.4746981251781058
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,sigmoid,0.001,0.7000000000000001,1,150,0.08490716425190983,-0.475133563434565
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.1,1,200,0.08915417842737587,-0.47610345104844637
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.7000000000000001,4,200,0.08923666838134921,-0.4786523508088893
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,sigmoid,0.001,0.1,1,200,0.09841187085521934,-0.4841556321484584
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.4,4,200,0.09339455781899157,-0.4863944127523115
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,sigmoid,0.001,0.1,1,150,0.04743518916306852,-0.4931264071775474
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.1,3,150,0.3300042601058953,-0.49366955187630585
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,sigmoid,0.001,0.4,1,150,0.06012473240329418,-0.49554468752934544
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.7000000000000001,1,150,0.11562624540147036,-0.5030933436637227
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.1,1,150,0.03589289284217286,-0.5064755521517218
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.7000000000000001,5,150,0.10072201020853946,-0.5075638723558521
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.7000000000000001,3,150,0.05088468147591259,-0.511648216506257
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.7000000000000001,1,200,0.10678910250898872,-0.5143925167368302
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.7000000000000001,4,150,0.11465361766099948,-0.5167646970308248
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.4,3,150,0.05616194842160159,-0.5197604889253099
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.1,4,50,0.1526253022463797,-0.5316233647274234
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.7000000000000001,1,100,0.17034347155631785,-0.5375638486923935
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,sigmoid,0.001,0.7000000000000001,2,200,0.04520282718449106,-0.5491776265065622
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.4,1,200,0.08566058293185294,-0.5496429239940916
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.4,2,100,0.3881183897208669,-0.5527188568712365
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.7000000000000001,3,100,0.12084331311703138,-0.5530416200261978
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.7000000000000001,2,200,0.18607109113513837,-0.5550998975768113
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.7000000000000001,2,50,0.1761161679120685,-0.5565739819414712
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.7000000000000001,2,100,0.08730815198305295,-0.5654080896956013
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.1,4,150,0.18553504427517117,-0.5749143203641031
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,sigmoid,0.001,0.4,2,200,0.08715001049162764,-0.579558631447558
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.7000000000000001,2,200,0.3422883942292859,-0.5798589658173561
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.01,0.1,2,150,0.09402761187944182,-0.583707088729511
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,sigmoid,0.01,0.4,1,200,0.13982837226557526,-0.5848080243731146
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.7000000000000001,1,150,0.05712612401080894,-0.5866129344444673
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.4,4,150,0.08294916587932341,-0.5885677295561038
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.01,0.1,5,100,0.08500037516340493,-0.5940533563399601
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.1,5,150,0.11265527396309552,-0.5943123301421674
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.7000000000000001,2,150,0.09912543846565543,-0.5949860554358539
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,sigmoid,0.001,0.1,2,200,0.06616811032971534,-0.6045387517138092
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.4,2,150,0.09957078655203469,-0.6083769868380838
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.4,5,150,0.12972345357658333,-0.6124523870876366
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.7000000000000001,1,200,0.27145704337143767,-0.6199542283893678
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.7000000000000001,2,150,0.3493009465216437,-0.620124848849943
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.01,0.1,3,200,0.1401528807523548,-0.6214688372502287
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,sigmoid,0.001,0.7000000000000001,1,100,0.12640887090040526,-0.6252361982847208
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.1,2,50,0.29440198456063255,-0.6269310062408773
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.1,3,200,0.5926567301992863,-0.6324500767247263
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,sigmoid,0.01,0.4,1,150,0.10840639435969299,-0.6361463862722209
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.4,2,50,0.09515604579399821,-0.636168632069939
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.1,3,150,0.11784655165433743,-0.6382259527744688
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.7000000000000001,3,50,0.28443202259075745,-0.6407817269481727
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.1,4,100,0.6756274137997508,-0.6486244912289528
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.1,4,150,0.5353957778877111,-0.6496841423406086
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,sigmoid,0.01,0.7000000000000001,1,200,0.2110350845546247,-0.650126375160001
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.01,0.1,2,200,0.11712193341070516,-0.6509257053793227
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.7000000000000001,1,100,0.08252079534948505,-0.6509669313656279
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,sigmoid,0.01,0.7000000000000001,2,200,0.141018666788841,-0.6514045408121045
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,sigmoid,0.001,0.4,1,100,0.20566908576364346,-0.6583764726829989
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.1,4,100,0.0939015396888788,-0.6587778236916038
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.1,2,150,0.1594065092144197,-0.6677903603039668
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,sigmoid,0.001,0.1,1,100,0.12870527273761156,-0.6741222796824641
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.01,0.1,1,200,0.04541317741038518,-0.6768017401939361
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.4,3,200,0.23477027878190088,-0.6796829386241091
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,relu,0.001,0.7000000000000001,5,150,0.6204991372007711,-0.6833136483362126
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.001,0.4,1,150,0.10691563610280722,-0.6842776728233365
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,tanh,0.01,0.1,3,150,0.08000123801668355,-0.6845074501436231
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000029347387340>,sigmoid,0.001,0.4,2,150,0.047036731526559274,-0.6898306598428926
