estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,0.01,,,,0.01344997540959768,-0.2699161698548451
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,0.001,,,,0.008610908720564322,-0.2742442215743006
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,1.0,,,,0.01915912943113058,-0.27534312201180994
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,10.0,,,,0.019172586616766556,-0.27534887700746197
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,100.0,,,,0.019172586616766556,-0.27534887700746197
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,1000.0,,,,0.019172586616766556,-0.27534887700746197
"SVC(C=0.01, kernel='linear', probability=True, random_state=0)",,,,,,,0.1,,,,0.012192076262674165,-0.27672939109041095
"SVC(probability=True, random_state=0)",,,,,,,1.0,,scale,rbf,0.004894650112465261,-0.2827077852809263
"SVC(probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.005539746767265067,-0.2828549785120676
"SVC(probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.01622333391529514,-0.2902827480718132
"SVC(probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.01025441841676385,-0.2907939484232835
"SVC(probability=True, random_state=0)",,,,,,,1.0,,auto,rbf,0.004106033398255619,-0.29824603563906604
"SVC(probability=True, random_state=0)",,,,,,,10.0,,auto,rbf,0.004192211050890879,-0.3010373062445699
"SVC(probability=True, random_state=0)",,,,,,,100.0,,auto,rbf,0.007252222554201867,-0.3032448936773036
"SVC(probability=True, random_state=0)",,,,,,,1000.0,,auto,rbf,0.012609941209608715,-0.3047869111275515
RandomForestClassifier(random_state=0),gini,,,,,1000.0,,,,,0.0658786114127024,-0.3058241291863942
RandomForestClassifier(random_state=0),entropy,,,,,1000.0,,,,,0.0695568430002574,-0.30640414554099915
RandomForestClassifier(random_state=0),gini,,,,,100.0,,,,,0.07569966323790732,-0.34570994100555763
RandomForestClassifier(random_state=0),entropy,,,,,100.0,,,,,0.07764820101261209,-0.3468841639428024
"LogisticRegression(random_state=0, solver='newton-cg')",,,,,,,0.01,,,,0.05421987153691627,-0.3676473363945309
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.8,,,0.04738219739336034,-0.37912378035362226
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.7000000000000001,,,0.047783163266434885,-0.3796345108139478
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.1,,,0.04689655368655023,-0.3801858418081543
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.6,,,0.048273292312179236,-0.38039820086690707
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.5,,,0.048890733363898174,-0.3814297161652514
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.4,,,0.049556756467767145,-0.3826842678099798
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.30000000000000004,,,0.05014665429315945,-0.38416051141689733
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.2,,,0.05085187326833261,-0.3859845297907083
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.2,,,0.046852469642468746,-0.3869578501185435
