estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"SVC(C=10, probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.012792803929353704,-0.3599615701650698
"SVC(C=10, probability=True, random_state=0)",,,,,,,1.0,,scale,rbf,0.018065594789701017,-0.37763867231219933
"SVC(C=10, probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.010173244595585412,-0.3815585076491998
"LogisticRegression(random_state=0, solver='newton-cg')",,,,,,,0.01,,,,0.05275001661306964,-0.3884407424967296
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.01,,,,0.01499381993214194,-0.38930102540469186
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.001,,,,0.008860803439127695,-0.3901285566181204
"SVC(C=10, probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.013856737031002632,-0.390459213670179
"LogisticRegression(random_state=0, solver='newton-cg')",,,,,,,0.1,,,,0.09378164349609243,-0.3973819830023689
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.1,,,0.03920724421722119,-0.39882710238014873
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.2,,,0.03920735103395595,-0.398827342517203
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.30000000000000004,,,0.039207457872602186,-0.3988275826494324
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.4,,,0.03920756465925204,-0.3988278227725485
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.5,,,0.039207671375391426,-0.39882806283052474
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.6,,,0.03920777808177137,-0.3988283028979099
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.7000000000000001,,,0.03920788483962061,-0.39882854298447573
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1000.0,0.8,,,0.039207991464577756,-0.398828782968754
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.1,,,0.03920807376826027,-0.39883076874018103
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.2,,,0.039209138763452785,-0.39883316831291826
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.30000000000000004,,,0.03921020177546922,-0.3988355671418143
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.4,,,0.039211262352794256,-0.39883796756362067
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.5,,,0.039212322546950465,-0.3988403705970866
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.6,,,0.03921338086532867,-0.3988427764011665
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.7000000000000001,,,0.03921444014917195,-0.39884518618792775
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,100.0,0.8,,,0.03921550142479999,-0.39884759797524255
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.1,,,0.03921633565600974,-0.3988675322454761
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.2,,,0.03922680097639338,-0.3988919108247515
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.30000000000000004,,,0.03923723258849032,-0.39891659505263505
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.4,,,0.039247738298020356,-0.3989413513664833
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.5,,,0.03925818299481688,-0.398966188650063
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.6,,,0.03926861223439391,-0.3989909321048952
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.7000000000000001,,,0.03927892008700461,-0.39901565818283324
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,10.0,0.8,,,0.03928920600284854,-0.39904043439232695
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.1,,,0.039300185994776325,-0.3992461567036427
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.2,,,0.03941171399812851,-0.3995060723729504
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.30000000000000004,,,0.03953572707463647,-0.399765571713548
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.4,,,0.039687688955549444,-0.4000242654076807
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.5,,,0.03987635411740755,-0.40029518130401937
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.6,,,0.04008732482633035,-0.400581938273334
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.7000000000000001,,,0.04028993210479632,-0.4008781970830712
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,1.0,0.8,,,0.040497898428902966,-0.4011941038806421
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.1,,,0.04100373445968656,-0.4038528204758879
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.2,,,0.043327108649785576,-0.40882070435312146
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.1,,,,0.023811243370122335,-0.4093416909518913
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.30000000000000004,,,0.04597671825993174,-0.4152690658651041
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.4,,,0.048450053797386705,-0.4221150183289445
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,1.0,,,,0.02177970985308829,-0.4223808763800418
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,100.0,,,,0.025844373389124965,-0.42280869204474697
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,10.0,,,,0.025844373389124965,-0.42280869204474697
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,1000.0,,,,0.025844373389124965,-0.42280869204474697
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.5,,,0.05191503100978477,-0.42952990169973865
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.6,,,0.05500797337498575,-0.4372219724862829
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.7000000000000001,,,0.05814468803700895,-0.4447816993986747
"LogisticRegression(penalty='l1', random_state=0, solver='liblinear')",,,,,,,1.0,,,,0.09975019692736443,-0.44573403487308616
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.1,0.8,,,0.060943742521872755,-0.45208628372115156
RandomForestClassifier(random_state=0),entropy,,,,,1000.0,,,,,0.024643549966361224,-0.49123826198459813
RandomForestClassifier(random_state=0),entropy,,,,,100.0,,,,,0.0243083883366298,-0.49591406416153494
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.01,0.1,,,0.0688537530268477,-0.5003509039132868
RandomForestClassifier(random_state=0),gini,,,,,100.0,,,,,0.028456536735135193,-0.5102122617047318
RandomForestClassifier(random_state=0),gini,,,,,1000.0,,,,,0.026200732476361694,-0.5128913548437712
"SVC(C=10, probability=True, random_state=0)",,,,,,,0.1,,scale,rbf,0.015706916803014375,-0.5322222977976292
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.01,0.2,,,0.06878727177424683,-0.563661749279363
"SVC(C=10, probability=True, random_state=0)",,,,,,,0.1,,scale,sigmoid,0.02038010365655742,-0.5903502497946941
"SVC(C=10, probability=True, random_state=0)",,,,,,,1.0,,scale,sigmoid,0.027286354254464247,-0.5951336245624659
"LogisticRegression(random_state=0, solver='newton-cg')",,,,,,,1.0,,,,0.18145051282831665,-0.6029132436138107
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.01,0.30000000000000004,,,0.05694168513310884,-0.6137118617861772
"LogisticRegression(random_state=0, solver='newton-cg')",,,,,,,0.001,,,,0.03648081428720647,-0.6268724684645315
"LogisticRegression(penalty='l1', random_state=0, solver='liblinear')",,,,,,,0.1,,,,0.012494427112012253,-0.6485710898776215
"SVC(C=10, probability=True, random_state=0)",,,,,,,100.0,,scale,poly,0.03319328287211578,-0.6534797256510756
"LogisticRegression(penalty='elasticnet', random_state=0, solver='saga')",,,,,,,0.01,0.4,,,0.05226924339655422,-0.6588778960752977
