estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1.0,0.6,,,0.03563265879777111,-0.24792656705337357
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1.0,0.5,,,0.03573835805962269,-0.2479281642092565
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1.0,0.7000000000000001,,,0.03552763633612675,-0.24793274205858978
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1.0,0.4,,,0.035846941100405906,-0.247940533930536
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1.0,0.8,,,0.03542292681694524,-0.24794462331280662
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1.0,0.30000000000000004,,,0.03595978564359185,-0.24796274842568805
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1.0,0.2,,,0.03607212595192827,-0.2479910404679798
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.1,0.1,,,0.03520154906908238,-0.24800848215707677
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1.0,0.1,,,0.03618416915084106,-0.24802381402384827
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,10.0,0.8,,,0.03620737898753702,-0.24802851244873514
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,10.0,0.7000000000000001,,,0.03621850552391367,-0.24803211719250046
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,10.0,0.6,,,0.036229613726086796,-0.24803575399088126
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,10.0,0.5,,,0.03624073058727406,-0.24803942497562398
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,10.0,0.4,,,0.03625186151367483,-0.24804314256451088
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,10.0,0.30000000000000004,,,0.03626295891400978,-0.2480468813575535
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,10.0,0.2,,,0.03627405317471939,-0.24805061726962196
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,10.0,0.1,,,0.03628515503253491,-0.24805435869868767
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.8,,,0.03628747560971657,-0.24805487112603544
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.7000000000000001,,,0.0362885852855336,-0.24805524520387084
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.6,,,0.03628969510454054,-0.24805561952202398
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.5,,,0.036290804998383594,-0.2480559939942551
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.4,,,0.03629191447964365,-0.24805636864128244
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.30000000000000004,,,0.03629302389718626,-0.24805674333258748
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.2,,,0.03629413350973233,-0.2480571175770384
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,100.0,0.1,,,0.03629524326422015,-0.24805749166510466
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.8,,,0.03629547525427667,-0.24805754298078203
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.7000000000000001,,,0.03629558619322914,-0.24805758036255957
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.6,,,0.03629569712228471,-0.24805761774755575
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.5,,,0.036295808055282486,-0.24805765513778943
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.4,,,0.03629591898010005,-0.24805769252623666
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.30000000000000004,,,0.036296029901596596,-0.24805772991703517
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.2,,,0.036296140812008,-0.2480577673032353
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,1000.0,0.1,,,0.03629625171546989,-0.24805780468913025
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.1,0.2,,,0.034269985384550714,-0.24852855150123304
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.1,0.30000000000000004,,,0.033615827878013246,-0.24968216951225547
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.1,0.4,,,0.03293957696735494,-0.25119926941399484
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.1,0.5,,,0.032274181388980035,-0.2530499807167249
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.1,0.6,,,0.03161101347218636,-0.25520258775026866
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.1,0.7000000000000001,,,0.030998036079275065,-0.2575747012780716
"LogisticRegression(random_state=0, solver='newton-cg')",,,,,,,0.001,,,,0.022693681282317774,-0.26009146101331154
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.1,0.8,,,0.03049302480853722,-0.2600943338711709
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.01,0.1,,,0.02973224383508128,-0.2657822482784147
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.01,0.2,,,0.028857805667260747,-0.2956869492464473
RandomForestClassifier(random_state=0),entropy,,,,,1000.0,,,,,0.013516614975438218,-0.302894933157249
"SVC(probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.0037409309426043647,-0.3144083044165057
"SVC(probability=True, random_state=0)",,,,,,,1.0,,scale,rbf,0.016703078470236485,-0.31608715271347504
RandomForestClassifier(random_state=0),gini,,,,,1000.0,,,,,0.014943936574613301,-0.3198023062929906
"SVC(probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.010360922994151941,-0.3207340977795398
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.01,0.30000000000000004,,,0.029757344958352416,-0.32466140312271596
"SVC(probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.01897856862213201,-0.32654543067360875
RandomForestClassifier(random_state=0),entropy,,,,,100.0,,,,,0.07176098161081791,-0.34659932389903136
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.001,,,,0.02245754737798164,-0.34882034111504107
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.01,0.4,,,0.0308327178357062,-0.35039091720778803
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.01,,,,0.028311034882825502,-0.356564729750904
RandomForestClassifier(random_state=0),gini,,,,,100.0,,,,,0.06909385470498684,-0.3587184361045175
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,1000.0,,,,0.028136793033378817,-0.3607781432582703
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,100.0,,,,0.028136793033378817,-0.3607781432582703
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,10.0,,,,0.028136793033378817,-0.3607781432582703
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,1.0,,,,0.028136793033378817,-0.3607781432582703
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.1,,,,0.028136793033378817,-0.3607781432582703
"LogisticRegression(random_state=0, solver='newton-cg')",,,,,,,0.01,,,,0.04151075607729759,-0.3613812275877025
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.01,0.5,,,0.031894968249548766,-0.3730354810303361
"LogisticRegression(penalty='l1', random_state=0, solver='liblinear')",,,,,,,0.1,,,,0.05747240646715273,-0.37716442332045863
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.01,0.6,,,0.032764379368902107,-0.39396978132548194
"SVC(probability=True, random_state=0)",,,,,,,10.0,,scale,poly,0.022152715554326137,-0.4041813361279454
"SVC(probability=True, random_state=0)",,,,,,,1.0,,scale,poly,0.025063202986786815,-0.4095387022192617
"SVC(probability=True, random_state=0)",,,,,,,100.0,,scale,poly,0.028700856124287414,-0.4116484308756387
"SVC(probability=True, random_state=0)",,,,,,,0.1,,scale,rbf,0.027007966563145948,-0.41330623456148774
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.01,0.7000000000000001,,,0.0337761261299412,-0.4144716004808253
"SVC(probability=True, random_state=0)",,,,,,,1000.0,,scale,poly,0.038130288111117794,-0.4181233529091328
"SVC(probability=True, random_state=0)",,,,,,,1000.0,,auto,poly,0.03889235354910514,-0.42913950415798463
"SVC(probability=True, random_state=0)",,,,,,,1.0,,auto,poly,0.03889235354910514,-0.42913950415798463
"SVC(probability=True, random_state=0)",,,,,,,10.0,,auto,poly,0.03889235354910514,-0.42913950415798463
"SVC(probability=True, random_state=0)",,,,,,,0.1,,auto,poly,0.03889235354910514,-0.42913950415798463
"SVC(probability=True, random_state=0)",,,,,,,0.01,,auto,poly,0.03889235354910514,-0.42913950415798463
"SVC(probability=True, random_state=0)",,,,,,,100.0,,auto,poly,0.03889235354910514,-0.42913950415798463
"SVC(probability=True, random_state=0)",,,,,,,0.001,,auto,poly,0.03886697042892031,-0.4292195906377663
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.01,0.8,,,0.03440459504115796,-0.4343203112775325
KNeighborsClassifier(),,,13.0,3.0,distance,,,,,,0.1484773245324639,-0.46828416688888813
"LogisticRegression(C=1, l1_ratio=0.6, penalty='elasticnet', random_state=0,
                   solver='saga')",,,,,,,0.001,0.1,,,0.034587416062230744,-0.47595550317888036
KNeighborsClassifier(),,,13.0,4.0,distance,,,,,,0.13060880053932147,-0.5038367467370981
KNeighborsClassifier(),,,13.0,3.0,uniform,,,,,,0.15702888034999807,-0.5059350564408998
KNeighborsClassifier(),,,10.0,4.0,distance,,,,,,0.11483347511577562,-0.5193418411563336
