estimator,estimator__criterion,estimator__splitter,estimator__n_neighbors,estimator__p,estimator__weights,estimator__n_estimators,estimator__C,estimator__l1_ratio,estimator__gamma,estimator__kernel,std,neg_log_loss
"SVC(C=10, probability=True, random_state=0)",,,,,,,10.0,,scale,rbf,0.009469574531247095,-0.25603822126172443
"SVC(C=10, probability=True, random_state=0)",,,,,,,1.0,,scale,rbf,0.0018325502238272886,-0.25890518672680796
"SVC(C=10, probability=True, random_state=0)",,,,,,,100.0,,scale,rbf,0.014854141326860056,-0.2613886131155503
"SVC(C=10, probability=True, random_state=0)",,,,,,,10.0,,auto,rbf,0.013233321456486024,-0.2630818665664189
"SVC(C=10, probability=True, random_state=0)",,,,,,,1000.0,,scale,rbf,0.022145175118890584,-0.2640607112563182
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,1.0,,,,0.010830606166538796,-0.2649833464320741
"SVC(C=10, probability=True, random_state=0)",,,,,,,1.0,,auto,rbf,0.0068528977720529105,-0.26560783515486
"SVC(C=10, probability=True, random_state=0)",,,,,,,100.0,,auto,rbf,0.014538155798475214,-0.2661015835460956
"SVC(C=10, probability=True, random_state=0)",,,,,,,1000.0,,auto,rbf,0.020588627935290923,-0.2683234332282826
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,10.0,,,,0.00917613780061405,-0.27120761641421753
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.1,,,,0.0043533024558394294,-0.2717382627391705
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,100.0,,,,0.014406766206403042,-0.2772395594360719
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,1000.0,,,,0.01600275393757624,-0.2798615723106852
"SVC(kernel='linear', probability=True, random_state=0)",,,,,,,0.01,,,,0.024630900719836264,-0.3018035038333957
"SVC(C=10, probability=True, random_state=0)",,,,,,,0.1,,auto,rbf,0.011248521032988764,-0.3060010259991142
"SVC(C=10, probability=True, random_state=0)",,,,,,,0.1,,scale,rbf,0.008466071407187697,-0.3161044840349667
